"identifier","context","text"
"license:label","Label for License http://rs.tdwg.org/dwc/terms/license","Лицензия"
"license:definition","Definition for License http://rs.tdwg.org/dwc/terms/license","Правовой документ, дающий официальное разрешение на совершение определённых действий с ресурсом."
"license:usage","Usage for License http://rs.tdwg.org/dwc/terms/license","Правовой документ, предоставляющий официальное разрешение на совершение каких-либо действий с записью описания коллекции."
"license:notes","Notes for License http://rs.tdwg.org/dwc/terms/license","Рекомендуется представлять идентификацию лицензионного документа с помощью IRI. Если это невозможно или нецелесообразно, может быть предоставлено строковое значение, идентифицирующее лицензию."
"rights:label","Label for Rights http://rs.tdwg.org/dwc/terms/rights","Права"
"rights:definition","Definition for Rights http://rs.tdwg.org/dwc/terms/rights","Сведения о правах, связанных с ресурсом и действующих в отношении него."
"rights:usage","Usage for Rights http://rs.tdwg.org/dwc/terms/rights","Утверждение о любых правах, действующих в отношении записи описания коллекции."
"rights:notes","Notes for Rights http://rs.tdwg.org/dwc/terms/rights","Как правило, информация о правах включает заявление о различных правах собственности, связанных с ресурсом, в том числе об интеллектуальной собственности. Рекомендуется указывать на заявление о правах с помощью IRI. Если это невозможно или нецелесообразно, может быть предоставлено строковое значение (название, метка или краткий текст)."
"rightsHolder:label","Label for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Правообладатель"
"rightsHolder:definition","Definition for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Физическое или юридическое лицо, обладающее правами на ресурс или управляющее ими."
"rightsHolder:usage","Usage for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Физическое или юридическое лицо, обладающее правами на запись описания коллекции или управляющее ими."
"rightsHolder:notes","Notes for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Рекомендуется ссылаться на правообладателя посредством IRI. В случае невозможности или нецелесообразности такого подхода допускается указание строкового значения, идентифицирующее правообладателя."
