"identifier","context","text"
"license:label","Label for License http://rs.tdwg.org/dwc/terms/license","Licence"
"license:definition","Definition for License http://rs.tdwg.org/dwc/terms/license","Document juridique donnant l'autorisation officielle de faire quelque chose avec la ressource."
"license:usage","Usage for License http://rs.tdwg.org/dwc/terms/license","Un document juridique donnant l'autorisation officielle de faire quelque chose avec l'enregistrement d'une description de collection."
"license:notes","Notes for License http://rs.tdwg.org/dwc/terms/license","La pratique optimale recommandée est d'identifier le document de la licence par un IRI. Si cela n'est pas possible ou faisable, une valeur littérale identifiant la licence peut être fournie."
"rights:label","Label for Rights http://rs.tdwg.org/dwc/terms/rights","Droits"
"rights:definition","Definition for Rights http://rs.tdwg.org/dwc/terms/rights","Informations sur les droits détenus dans et sur la ressource."
"rights:usage","Usage for Rights http://rs.tdwg.org/dwc/terms/rights","Une déclaration de tout droit détenu sur l'enregistrement décrivant la collection."
"rights:notes","Notes for Rights http://rs.tdwg.org/dwc/terms/rights","En général, les informations sur les droits comprennent une déclaration sur les divers droits de propriété associés à la ressource, y compris les droits de propriété intellectuelle. La pratique optimale recommandée est de faire référence à une déclaration de droits avec un IRI. Si cela n'est pas possible ou faisable, une valeur littérale (nom, label ou texte court) peut être fournie."
"rightsHolder:label","Label for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Détenteur des droits"
"rightsHolder:definition","Definition for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Personne ou organisation possédant ou gérant des droits sur la ressource."
"rightsHolder:usage","Usage for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Personne ou organisation possédant ou gérant des droits sur l'enregistrement descriptif de la collection."
"rightsHolder:notes","Notes for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","La pratique optimale recommandée est de faire référence au détenteur des droits avec un IRI. Si cela n'est pas possible ou faisable, une valeur littérale identifiant le détenteur des droits peut être fournie."
