link_column,link_property,suffix1,link_characters,suffix2,filename,forward_link
term_localName,dcterms:isVersionOf,version,http,,placeholder-versions.csv,dcterms:hasVersion
replaced_term_localName,dcterms:replaces,replacing_term,http,,placeholder-replacements.csv,dcterms:isReplacedBy
