version,term
http://digir.net/schema/conceptual/darwin/2003/1.0/version/AgeClass-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/AgeClass
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/BasisOfRecord
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/BasisOfRecord
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BoundingBox-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/BoundingBox
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BoundingBox-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/BoundingBox
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumber-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumber
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberNumeric-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberNumeric
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberText-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberText
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/Class
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/Class
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectorNumber
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectorNumber
http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean
http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinatePrecision-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinatePrecision
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinateUncertaintyInMeters-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinateUncertaintyInMeters
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Country-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/Country
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Country-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/Country
http://digir.net/schema/conceptual/darwin/2003/1.0/version/County-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/County
http://digir.net/schema/conceptual/darwin/2003/1.0/version/County-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/County
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DateLastModified-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/DateLastModified
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DateLastModified-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/DateLastModified
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayCollected-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayCollected-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayIdentified-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/DayIdentified
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayIdentified-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/DayIdentified
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DecimalLatitude-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLatitude
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DecimalLongitude-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLongitude
