document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,rdf_type
2017-09-23T06:53:00-05:00,AgeClass,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Age Class,"The age class, reproductive stage, life stage of the biological individual (e.g., juvenile, adult, eft, nymph, etc.).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,BasisOfRecord,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Basis of Record,"A description indicating whether the record represents an observation, tissue sample, living organism, voucher specimen, germplasm/seed, genetic information, etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,BoundingBox,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Bounding Box,"This access point provides a mechanism for performing searches using a bounding box. A Bounding Box element is not typically present in the database, but rather is derived from the DecimalLatitude and DecimalLongitude columns by the data provider.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,CatalogNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Catalog Number,"A unique alphanumeric value which identifies an individual record within the collection. It is recommended that this value provides a key by which the actual specimen can be identified. If the specimen has several items such as various types of preparation, this value should identify the individual component of the specimen",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,CatalogNumberNumeric,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,,,,Catalog Number Numeric,"The CatalogNumber as a numeric value, if applicable. Allows searching on numeric ranges of CatalogNumbers.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,CatalogNumberText,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumber,,,Catalog Number Text,An alphanumeric value which identifies an individual cataloged item within the collection. It is recommended that this value provides a key by which the individual cataloged item can be identified.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,Class,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Class,The phylogenetic class to which the cataloged item belongs.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,CollectionCode,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Collection Code,A unique alphanumeric value that identifies the collection within the institution in which the item is cataloged. This attribute must contain no spaces.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,Collector,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Collector,The name(s) of the collector(s) of the original data for the cataloged item.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
2017-09-23T06:53:00-05:00,CollectorNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Collector Number,An identifying string applied to the cataloged item at the time of collection. Serves as a link between field notes and the cataloged items.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
