replacing_term,replaced_term
http://rs-test.tdwg.org/dwc/dwcore/LifeStage,http://digir.net/schema/conceptual/darwin/2003/1.0/AgeClass
http://www.iobis.org/obis/Lifestage,http://digir.net/schema/conceptual/darwin/2003/1.0/AgeClass
http://rs-test.tdwg.org/dwc/dwcore/BasisOfRecord,http://digir.net/schema/conceptual/darwin/2003/1.0/BasisOfRecord
http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberText,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumber
http://rs-test.tdwg.org/dwc/curatorial/CatalogNumberNumeric,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberNumeric
http://rs-test.tdwg.org/dwc/terms/CatalogNumberNumeric,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberNumeric
http://rs-test.tdwg.org/dwc/dwcore/CatalogNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberText
http://rs-test.tdwg.org/dwc/dwcore/Class,http://digir.net/schema/conceptual/darwin/2003/1.0/Class
http://rs-test.tdwg.org/dwc/dwcore/CollectionCode,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode
http://rs-test.tdwg.org/dwc/dwcore/Collector,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector
http://rs-test.tdwg.org/dwc/curatorial/CollectorNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectorNumber
http://rs-test.tdwg.org/dwc/dwcore/Continent,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean
http://rs-test.tdwg.org/dwc/dwcore/WaterBody,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean
http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinateUncertaintyInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinatePrecision
http://rs-test.tdwg.org/dwc/terms/coordinatePrecision,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinatePrecision
http://rs-test.tdwg.org/dwc/geospatial/CoordinateUncertaintyInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinateUncertaintyInMeters
http://rs-test.tdwg.org/dwc/dwcore/Country,http://digir.net/schema/conceptual/darwin/2003/1.0/Country
http://rs-test.tdwg.org/dwc/dwcore/County,http://digir.net/schema/conceptual/darwin/2003/1.0/County
http://rs-test.tdwg.org/dwc/dwcore/DateLastModified,http://digir.net/schema/conceptual/darwin/2003/1.0/DateLastModified
http://rs-test.tdwg.org/dwc/dwcore/EarliestDateCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected
http://rs-test.tdwg.org/dwc/dwcore/LatestDateCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected
http://rs-test.tdwg.org/dwc/terms/day,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected
http://rs-test.tdwg.org/dwc/curatorial/DateIdentified,http://digir.net/schema/conceptual/darwin/2003/1.0/DayIdentified
http://rs-test.tdwg.org/dwc/geospatial/DecimalLatitude,http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLatitude
http://rs-test.tdwg.org/dwc/geospatial/DecimalLongitude,http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLongitude
http://rs-test.tdwg.org/dwc/dwcore/Family,http://digir.net/schema/conceptual/darwin/2003/1.0/Family
http://rs-test.tdwg.org/dwc/curatorial/FieldNotes,http://digir.net/schema/conceptual/darwin/2003/1.0/FieldNotes
http://rs-test.tdwg.org/dwc/curatorial/FieldNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/FieldNumber
http://rs-test.tdwg.org/dwc/curatorial/GenBankNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/GenBankNum
http://rs-test.tdwg.org/dwc/dwcore/Genus,http://digir.net/schema/conceptual/darwin/2003/1.0/Genus
http://rs-test.tdwg.org/dwc/geospatial/GeoreferenceProtocol,http://digir.net/schema/conceptual/darwin/2003/1.0/GeorefMethod
http://rs-test.tdwg.org/dwc/dwcore/HigherGeography,http://digir.net/schema/conceptual/darwin/2003/1.0/HigherGeography
http://rs-test.tdwg.org/dwc/dwcore/HigherTaxon,http://digir.net/schema/conceptual/darwin/2003/1.0/HigherTaxon
http://rs-test.tdwg.org/dwc/geospatial/GeodeticDatum,http://digir.net/schema/conceptual/darwin/2003/1.0/HorizontalDatum
http://rs-test.tdwg.org/dwc/dwcore/IdentificationQualifier,http://digir.net/schema/conceptual/darwin/2003/1.0/IdentificationModifier
http://rs-test.tdwg.org/dwc/curatorial/IdentifiedBy,http://digir.net/schema/conceptual/darwin/2003/1.0/IdentifiedBy
http://rs-test.tdwg.org/dwc/curatorial/IndividualCount,http://digir.net/schema/conceptual/darwin/2003/1.0/IndividualCount
http://rs-test.tdwg.org/dwc/dwcore/InstitutionCode,http://digir.net/schema/conceptual/darwin/2003/1.0/InstitutionCode
http://rs-test.tdwg.org/dwc/dwcore/Island,http://digir.net/schema/conceptual/darwin/2003/1.0/Island
http://rs-test.tdwg.org/dwc/dwcore/IslandGroup,http://digir.net/schema/conceptual/darwin/2003/1.0/IslandGroup
http://rs-test.tdwg.org/dwc/dwcore/DayOfYear,http://digir.net/schema/conceptual/darwin/2003/1.0/JulianDay
http://rs-test.tdwg.org/dwc/dwcore/Kingdom,http://digir.net/schema/conceptual/darwin/2003/1.0/Kingdom
http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLatitude,http://digir.net/schema/conceptual/darwin/2003/1.0/Latitude
http://rs-test.tdwg.org/dwc/geospatial/GeoreferenceRemarks,http://digir.net/schema/conceptual/darwin/2003/1.0/LatLongComments
http://rs-test.tdwg.org/dwc/dwcore/Locality,http://digir.net/schema/conceptual/darwin/2003/1.0/Locality
http://digir.net/schema/conceptual/darwin/2003/1.0/DecimalLongitude,http://digir.net/schema/conceptual/darwin/2003/1.0/Longitude
http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumDepthInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumDepth
http://rs-test.tdwg.org/dwc/dwcore/MaximumDepthInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumDepthInMeters
http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumElevationInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumElevation
http://rs-test.tdwg.org/dwc/dwcore/MaximumElevationInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/MaximumElevationInMeters
http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumDepthInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumDepth
http://rs-test.tdwg.org/dwc/dwcore/MinimumDepthInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumDepthInMeters
http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumElevationInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumElevation
http://rs-test.tdwg.org/dwc/dwcore/MinimumElevationInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/MinimumElevationInMeters
http://rs-test.tdwg.org/dwc/terms/month,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected
http://rs-test.tdwg.org/dwc/dwcore/EarliestDateCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected
http://rs-test.tdwg.org/dwc/dwcore/LatestDateCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected
http://rs-test.tdwg.org/dwc/curatorial/DateIdentified,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthIdentified
http://digir.net/schema/conceptual/darwin/2003/1.0/Remarks,http://digir.net/schema/conceptual/darwin/2003/1.0/Notes
http://rs-test.tdwg.org/dwc/dwcore/Order,http://digir.net/schema/conceptual/darwin/2003/1.0/Order
http://rs-test.tdwg.org/dwc/geospatial/VerbatimCoordinateSystem,http://digir.net/schema/conceptual/darwin/2003/1.0/OriginalCoordinateSystem
http://rs-test.tdwg.org/dwc/curatorial/OtherCatalogNumbers,http://digir.net/schema/conceptual/darwin/2003/1.0/OtherCatalogNumbers
http://rs-test.tdwg.org/dwc/dwcore/Phylum,http://digir.net/schema/conceptual/darwin/2003/1.0/Phylum
http://rs-test.tdwg.org/dwc/curatorial/Preparations,http://digir.net/schema/conceptual/darwin/2003/1.0/Preparations
http://digir.net/schema/conceptual/darwin/2003/1.0/Preparations,http://digir.net/schema/conceptual/darwin/2003/1.0/PreparationType
http://digir.net/schema/conceptual/darwin/2003/1.0/OtherCatalogNumbers,http://digir.net/schema/conceptual/darwin/2003/1.0/PreviousCatalogNumber
http://rs-test.tdwg.org/dwc/curatorial/RelatedCatalogedItems,http://digir.net/schema/conceptual/darwin/2003/1.0/RelatedCatalogedItems
http://digir.net/schema/conceptual/darwin/2003/1.0/RelatedCatalogedItems,http://digir.net/schema/conceptual/darwin/2003/1.0/RelatedCatalogItem
http://rs-test.tdwg.org/dwc/dwcore/Remarks,http://digir.net/schema/conceptual/darwin/2003/1.0/Remarks
http://rs-test.tdwg.org/dwc/dwcore/ScientificName,http://digir.net/schema/conceptual/darwin/2003/1.0/ScientificName
http://rs-test.tdwg.org/dwc/dwcore/AuthorYearOfScientificName,http://digir.net/schema/conceptual/darwin/2003/1.0/ScientificNameAuthor
http://rs-test.tdwg.org/dwc/dwcore/Sex,http://digir.net/schema/conceptual/darwin/2003/1.0/Sex
http://rs-test.tdwg.org/dwc/dwcore/SpecificEpithet,http://digir.net/schema/conceptual/darwin/2003/1.0/Species
http://rs-test.tdwg.org/dwc/dwcore/StateProvince,http://digir.net/schema/conceptual/darwin/2003/1.0/StateProvince
http://rs-test.tdwg.org/dwc/dwcore/InfraspecificEpithet,http://digir.net/schema/conceptual/darwin/2003/1.0/Subspecies
http://digir.net/schema/conceptual/darwin/2003/1.0/TimeCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/TimeOfDay
http://rs-test.tdwg.org/dwc/curatorial/TypeStatus,http://digir.net/schema/conceptual/darwin/2003/1.0/TypeStatus
http://rs-test.tdwg.org/dwc/curatorial/VerbatimCollectingDate,http://digir.net/schema/conceptual/darwin/2003/1.0/VerbatimCollectingDate
http://rs-test.tdwg.org/dwc/curatorial/VerbatimDepth,http://digir.net/schema/conceptual/darwin/2003/1.0/VerbatimDepth
http://rs-test.tdwg.org/dwc/curatorial/VerbatimElevation,http://digir.net/schema/conceptual/darwin/2003/1.0/VerbatimElevation
http://rs-test.tdwg.org/dwc/geospatial/VerbatimLatitude,http://digir.net/schema/conceptual/darwin/2003/1.0/VerbatimLatitude
http://rs-test.tdwg.org/dwc/geospatial/VerbatimLongitude,http://digir.net/schema/conceptual/darwin/2003/1.0/VerbatimLongitude
http://rs-test.tdwg.org/dwc/terms/year,http://digir.net/schema/conceptual/darwin/2003/1.0/YearCollected
http://rs-test.tdwg.org/dwc/dwcore/EarliestDateCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/YearCollected
http://rs-test.tdwg.org/dwc/dwcore/LatestDateCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/YearCollected
http://rs-test.tdwg.org/dwc/curatorial/DateIdentified,http://digir.net/schema/conceptual/darwin/2003/1.0/YearIdentified
http://rs-test.tdwg.org/dwc/terms/bed,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/Bed
http://rs-test.tdwg.org/dwc/terms/earliestAgeOrLowestStage,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestAgeOrLowestStage
http://rs-test.tdwg.org/dwc/terms/earliestEonOrLowestEonothem,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestEonOrLowestEonothem
http://rs-test.tdwg.org/dwc/terms/earliestEpochOrLowestSeries,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestEpochOrLowestSeries
http://rs-test.tdwg.org/dwc/terms/earliestEraOrLowestErathem,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestEraOrLowestErathem
http://rs-test.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestPeriodOrLowestSystem
http://rs-test.tdwg.org/dwc/terms/formation,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/Formation
