link_column,link_property,suffix1,link_characters,suffix2,filename,forward_link
term_localName,dcterms:isVersionOf,version,http,,ac3dtype-versions.csv,dcterms:hasVersion
replaced_term_localName,dcterms:replaces,replacing_term,http,,ac3dtype-replacements.csv,dcterms:isReplacedBy
