term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_pt,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,skos_scopeNote_en,skos_scopeNote_cs,skos_scopeNote_de,skos_scopeNote_es,skos_scopeNote_fr,skos_scopeNote_ko,skos_scopeNote_nl,skos_scopeNote_pt,skos_scopeNote_ru,skos_scopeNote_zh-Hans,skos_scopeNote_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_pt,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
PixelXDimension,Image Width,Šířka obrázku,,,,,,,,,,"Information specific to compressed data. When a compressed file is recorded, the valid width of the meaningful image shall be recorded in this tag, whether or not there is padding data or a restart marker.  This tag shall not exist in an uncompressed file.","Informace specifické pro komprimovaná data. Při záznamu komprimovaného souboru se v tomto tagu zaznamená platná šířka smysluplného obrazu, bez ohledu na to, zda jsou v souboru výplňová data nebo značka restartu.  Tento tag nesmí být přítomen v nekomprimovaném souboru.",,,,,,,,,,"The width in pixels of the media specified by the access point. Contrary to the definition, in Audiovisual Core, this term MAY be used with uncompressed files.",Šířka v pixelech média určeného přístupovým bodem. Na rozdíl od definice v Audiovisual Core může být tento termín použit pro nekomprimované soubory.,,,,,,,,,,"Audiovisual Core uses this term for any image type, including those to which EXIF does not apply and those that are not a compressed file type like JPEG.","Audiovisual Core používá tento termín pro jakýkoli typ obrázku, včetně těch, na které se nevztahuje EXIF, a těch, které nejsou komprimovaným typem souboru, jako je JPEG.",,,,,,,,,,,,,,,,,,,,
PixelYDimension,Image Height,Výška obrázku,,,,,,,,,,"Information specific to compressed data. When a compressed file is recorded, the valid height of the meaningful image shall be recorded in this tag, whether or not there is padding data or a restart marker.  This tag shall not exist in an uncompressed file.","Informace specifické pro komprimovaná data. Při záznamu komprimovaného souboru se v tomto tagu zaznamená platná výška smysluplného obrazu, bez ohledu na to, zda jsou v souboru výplňová data nebo značka restartu.  Tento tag nesmí být přítomen v nekomprimovaném souboru.",,,,,,,,,,"The height in pixels of the media specified by the access point. Contrary to the definition, in Audiovisual Core, this term MAY be used with uncompressed files.",Výška v pixelech média určeného přístupovým bodem. Na rozdíl od definice v Audiovisual Core může být tento termín použit u nekomprimovaných souborů.,,,,,,,,,,"Audiovisual Core uses this term for any image type, including those to which EXIF does not apply and those that are not a compressed file type like JPEG.","Audiovisual Core používá tento termín pro jakýkoli typ obrázku, včetně těch, na které se nevztahuje EXIF, a těch, které nejsou komprimovaným typem souboru, jako je JPEG.",,,,,,,,,,,,,,,,,,,,
