identifier,context,text
PixelXDimension:label,Label for Image Width http://rs.tdwg.org/dwc/terms/PixelXDimension,Image Width
PixelXDimension:rdfs_comment,Comment for Image Width http://rs.tdwg.org/dwc/terms/PixelXDimension,"Information specific to compressed data. When a compressed file is recorded, the valid width of the meaningful image shall be recorded in this tag, whether or not there is padding data or a restart marker.  This tag shall not exist in an uncompressed file."
PixelXDimension:dcterms_description,Description for Image Width http://rs.tdwg.org/dwc/terms/PixelXDimension,"Audiovisual Core uses this term for any image type, including those to which EXIF does not apply and those that are not a compressed file type like JPEG."
PixelYDimension:label,Label for Image Height http://rs.tdwg.org/dwc/terms/PixelYDimension,Image Height
PixelYDimension:rdfs_comment,Comment for Image Height http://rs.tdwg.org/dwc/terms/PixelYDimension,"Information specific to compressed data. When a compressed file is recorded, the valid height of the meaningful image shall be recorded in this tag, whether or not there is padding data or a restart marker.  This tag shall not exist in an uncompressed file."
PixelYDimension:dcterms_description,Description for Image Height http://rs.tdwg.org/dwc/terms/PixelYDimension,"Audiovisual Core uses this term for any image type, including those to which EXIF does not apply and those that are not a compressed file type like JPEG."
