header,predicate,type,value,attribute,subject_id
rdf_type,rdf:type,iri,,,$root
rdfs_comment,rdfs:comment,plain,,,$root
rdfs_comment2,rdfs:comment,plain,,,$root
rdfs_domain,rdfs:domain,iri,,,$root
rdfs_isDefinedBy,rdfs:isDefinedBy,iri,,,$root
rdfs_label,rdfs:label,plain,,,$root
owl_versionInfo,owl:versionInfo,plain,,,$root
dcterms_issued,dcterms:issued,plain,,,$root
dcterms_modified,dcterms:modified,plain,,,$root
dc_title,dc:title,plain,,,$root
dc_creator,dc:creator,plain,,,$root
dc_description,dc:description,plain,,,$root
dc_publisher,dc:publisher,plain,,,$root
base_definition,base:definition,plain,,,$root
com_tcsEquivalence,com:tcsEquivalence,plain,,,$root
rdfs_range,rdfs:range,iri,,,$root
dc_relation,dc:relation,iri,,,$root
