replacing_vocabulary,replaced_vocabulary
http://rs.tdwg.org/version/dwc/2020-10-28,http://rs.tdwg.org/version/dwc/2020-10-13
http://rs.tdwg.org/version/dwcpw/2020-10-28,http://rs.tdwg.org/version/dwcpw/2020-10-13
http://rs.tdwg.org/version/ac/2020-10-28,http://rs.tdwg.org/version/ac/2020-10-13
http://rs.tdwg.org/version/ac/2021-02-01,http://rs.tdwg.org/version/ac/2020-10-28
http://rs.tdwg.org/version/dwc/2021-03-29,http://rs.tdwg.org/version/dwc/2020-10-28
http://rs.tdwg.org/version/chrono/2020-10-05,http://rs.tdwg.org/version/chrono/2020-09-14
http://rs.tdwg.org/version/chrono/2020-11-17,http://rs.tdwg.org/version/chrono/2020-10-05
http://rs.tdwg.org/version/chrono/2021-01-26,http://rs.tdwg.org/version/chrono/2020-11-17
http://rs.tdwg.org/version/chrono/2021-02-02,http://rs.tdwg.org/version/chrono/2021-01-26
http://rs.tdwg.org/version/chrono/2021-02-05,http://rs.tdwg.org/version/chrono/2021-02-02
http://rs.tdwg.org/version/chrono/2021-02-21,http://rs.tdwg.org/version/chrono/2021-02-05
http://rs.tdwg.org/version/dwc/2021-07-15,http://rs.tdwg.org/version/dwc/2021-03-29
http://rs.tdwg.org/version/dwcdoe/2021-09-01,http://rs.tdwg.org/version/dwcdoe/2020-10-13
http://rs.tdwg.org/version/dwcem/2021-09-01,http://rs.tdwg.org/version/dwcem/2020-10-13
http://rs.tdwg.org/version/dwcpw/2021-09-01,http://rs.tdwg.org/version/dwcpw/2020-10-28
http://rs.tdwg.org/version/ac/2021-10-05,http://rs.tdwg.org/version/ac/2021-02-01
http://rs.tdwg.org/version/ac/2022-02-23,http://rs.tdwg.org/version/ac/2021-10-05
http://rs.tdwg.org/version/acsubtype/2022-02-23,http://rs.tdwg.org/version/acsubtype/2020-10-13
http://rs.tdwg.org/version/dwc/2023-06-28,http://rs.tdwg.org/version/dwc/2021-07-15
http://rs.tdwg.org/version/dwc/2023-07-07,http://rs.tdwg.org/version/dwc/2023-06-28
http://rs.tdwg.org/version/ac/2023-09-05,http://rs.tdwg.org/version/ac/2022-02-23
http://rs.tdwg.org/version/dwc/2023-09-13,http://rs.tdwg.org/version/dwc/2023-07-07
http://rs.tdwg.org/version/dwc/2023-09-18,http://rs.tdwg.org/version/dwc/2023-09-13
http://rs.tdwg.org/version/eco/2024-03-26,http://rs.tdwg.org/version/eco/2024-02-28
http://rs.tdwg.org/version/dwc/2025-06-12,http://rs.tdwg.org/version/dwc/2023-09-18
http://rs.tdwg.org/version/chrono/2025-06-12,http://rs.tdwg.org/version/chrono/2021-02-21
http://rs.tdwg.org/version/eco/2025-06-12,http://rs.tdwg.org/version/eco/2024-03-26
http://rs.tdwg.org/version/dwcem/2025-06-12,http://rs.tdwg.org/version/dwcem/2021-09-01
http://rs.tdwg.org/version/dwcpw/2025-06-12,http://rs.tdwg.org/version/dwcpw/2021-09-01
http://rs.tdwg.org/version/chrono/2025-07-10,http://rs.tdwg.org/version/chrono/2025-06-12
