term_localName,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
Media,Media Entity,A digital or physical media resource.,An instance of digital textual media may be better represented as a dcterms:BibliographicResource.,`dcmi:Sound`; `dcmi:StillImage`; `dcmi:MovingImage`; `dcmi:InteractiveResource`; `ac:Digital3DResource`,http://www.w3.org/2000/01/rdf-schema#Class,This term is equivalent to the ABCD term http://rs.tdwg.org/abcd/terms/MultimediaObject .,,,extension
fundingAttribution,Funding Attribution,Text description of organizations or individuals who funded the creation of the resource.,"Specify the full official name of the funding body. This should include the complete name without abbreviations, unless the abbreviation is an official and commonly recognized form (e.g., NSF for the National Science Foundation). The recommended best practice is to separate the values in a list with space vertical bar space (` | `).",`Artsdatabanken`; `National Science Foundation`; `Norges forskningsråd`; `Ocean Census | Nippon Foundation`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Provenance,,extension
