term_localName,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
informationWithheld,Information Withheld (IRI),"Additional information that exists about a resource, but that is not shared publicly. Suggests that alternative data of higher quality may be available on request.",Terms in the dwciri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
preferredSpatialRepresentation,Preferred Spatial Representation (IRI),An indication of which spatial representation best represents the dcterms:Location.,Terms in the dwciri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
siteNumber,Site Number (IRI),An identifier for a named site.,"Usually an institutional identifier for a specific named place as opposed to dwc:locationID, which is an identifier for the entire set of distinct information for an instance of dcterms:Location. This term differs from dwciri:fieldNumber in that dwciri:siteNumber is not related strictly to one dwc:Event. Terms in the dwciri: namespace are intended to be used in RDF with non-literal objects.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
georeferenceProtocol,Georeference Protocol (IRI),"A description or reference to a dwc:Protocol used to determine a spatial footprint, coordinates, and uncertainties.",Terms in the dwciri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
georeferenceSources,Georeference Sources (IRI),"A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference a dcterms:Location, described specifically enough to allow anyone in the future to use the same resources.",Recommended best practice is to separate the values in a list with space vertical bar space (` | `). Terms in the dwciri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
georeferencedBy,Georeferenced By (IRI),A name for a dcterms:Agent responsible for providing a georeference.,Recommended best practice is to separate the values in a list with space vertical bar space (` | `). Terms in the dwciri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
verbatimCoordinateSystem,Verbatim Coordinate System (IRI),A coordinate format for dwc:verbatimLatitude and dwc:verbatimLongitude or dwc:verbatimCoordinates.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
materialEntityCategory,Material Entity Category (IRI),"A high-level, mutually exclusive classification describing the fundamental substance and origin of a dwc:MaterialEntity.","Recommended best practice is to use a limited, tightly controlled vocabulary. Terms in the dwciri: namespace are intended to be used in RDF with non-literal objects.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
objectQuantityType,Object Quantity Type (IRI),The type of quantification system used for the quantity of dwc:MaterialEntities.,An dwc:objectQuantityType must have a corresponding dwc:objectQuantity. Terms in the dwciri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
disposition,Disposition (IRI),A current state of a dwc:MaterialEntity with respect to where it can be found.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
