linked_affected_resource,decision_localName
http://purl.org/dc/terms/description,decision-2019-12-01_19
http://purl.org/dc/terms/format,decision-2019-12-01_19
http://purl.org/dc/terms/identifier,decision-2019-12-01_19
http://purl.org/dc/terms/language,decision-2019-12-01_19
http://purl.org/dc/terms/modified,decision-2019-12-01_19
http://purl.org/dc/terms/rights,decision-2019-12-01_19
http://purl.org/dc/terms/source,decision-2019-12-01_19
http://purl.org/dc/terms/temporal,decision-2019-12-01_19
http://purl.org/dc/terms/title,decision-2019-12-01_19
http://purl.org/dc/terms/type,decision-2019-12-01_19
http://rs.tdwg.org/ac/Iptc4xmpExt/City,decision-2019-12-01_19
http://rs.tdwg.org/ac/Iptc4xmpExt/CountryCode,decision-2019-12-01_19
http://rs.tdwg.org/ac/Iptc4xmpExt/CountryName,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/IDofContainingCollection,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/accessURI,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/associatedObservationReference,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/associatedSpecimenReference,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/attributionLinkURL,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/attributionLogoURL,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/caption,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/captureDevice,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/commenter,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/commenterLiteral,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/comments,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/derivedFrom,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/digitizationDate,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/fundingAttribution,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/furtherInformationURL,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/hasServiceAccessPoint,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/hashFunction,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/hashValue,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/licenseLogoURL,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/licensingException,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/metadataCreator,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/metadataCreatorLiteral,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/metadataLanguage,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/metadataLanguageLiteral,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/metadataProvider,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/metadataProviderLiteral,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/otherScientificName,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/physicalSetting,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/provider,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/providerID,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/providerLiteral,decision-2019-12-01_19
http://rs.tdwg.org/ac/terms/providerManagedID,decision-2019-12-01_19
