document_modified,term_localName,term_isDefinedBy,term_modified,label,rdfs_comment
2021-10-09T12:48:00-05:00,decision-2021-10-05_35,http://rs.tdwg.org/decisions/,2021-10-05,TDWG Executive Committee decision 35,Additions and changes to Audubon Core associated with Regions of Interest (ROI). See https://github.com/tdwg/ac/milestone/4
2022-05-10T20:34:00-05:00,decision-2022-02-23_36,http://rs.tdwg.org/decisions/,2022-02-23,TDWG Executive Committee decision 36,Implement model reference links in Audubon Core subtype controlled vocabulary. See https://github.com/tdwg/ac/issues/220
2022-05-10T20:34:00-05:00,decision-2022-02-23_37,http://rs.tdwg.org/decisions/,2022-02-23,TDWG Executive Committee decision 37,Revise ac:subjectOrientation and ac:subjectPart and add ac:subjectOrientationLiteral and ac:subjectPartLiteral. See https://github.com/tdwg/ac/issues/195
2022-05-10T20:34:00-05:00,decision-2022-02-23_38,http://rs.tdwg.org/decisions/,2022-02-23,TDWG Executive Committee decision 38,Recategorize ac:framerate. See https://github.com/tdwg/ac/issues/217
2023-05-07T21:00:00-05:00,decision-2023-04-26_39,http://rs.tdwg.org/decisions/,2023-04-26,TDWG Executive Committee decision 39,Created the controlled vocabularies for Audiovisual Core subjectPart and subjectOrientation. See https://github.com/tdwg/ac/issues/245
2023-06-28T22:00:00-05:00,decision-2023-06-28_40,http://rs.tdwg.org/decisions/,2023-06-28,TDWG Executive Committee decision 40,Darwin Core additions and changes. See https://github.com/tdwg/dwc/milestone/16
2023-09-14T20:34:00-05:00,decision-2023-09-13_41,http://rs.tdwg.org/decisions/,2023-09-13,TDWG Executive Committee decision 41,Darwin Core changes related to the new MaterialSample class. See https://github.com/tdwg/dwc/milestone/18
2024-03-03T11:15:28-06:00,decision-2024-02-28_42,http://rs.tdwg.org/decisions/,2024-02-28,TDWG Executive Committee decision 42,Humboldt Extension for Ecological Inventories and controlled vocabulary for eco:taxonCompletenessReported ratified as a part of the Darwin Core Standard. See https://github.com/tdwg/hc/milestone/1
2024-06-30T15:40:46-05:00,decision-2024-02-28_43,http://rs.tdwg.org/decisions/,2024-02-28,TDWG Executive Committee decision 43,Latimer Core ratified as a new TDWG standard.
2025-07-07T15:53:12-05:00,decision-2025-06-12_44,http://rs.tdwg.org/decisions/,2025-06-12,TDWG Executive Committee decision 44,Darwin Core changes ratified as a part of the Darwin Core public review. https://github.com/tdwg/dwc/milestone/19.
2025-07-07T15:53:13-05:00,decision-2025-06-12_45,http://rs.tdwg.org/decisions/,2025-06-12,TDWG Executive Committee decision 45,Chronometric Age Extension changes ratified as a part of the Darwin Core public review. https://github.com/tdwg/dwc/milestone/19.
2025-07-07T15:53:13-05:00,decision-2025-06-12_46,http://rs.tdwg.org/decisions/,2025-06-12,TDWG Executive Committee decision 46,Humboldt Extension for Ecological Inventories changes ratified as a part of the Darwin Core public review. https://github.com/tdwg/dwc/milestone/19.
2025-07-07T15:53:14-05:00,decision-2025-06-12_47,http://rs.tdwg.org/decisions/,2025-06-12,TDWG Executive Committee decision 47,Establiment Means Controlled Vocabulary ratified as a part of the Darwin Core Standard. See https://github.com/tdwg/hc/milestone/19.
2025-07-07T15:53:14-05:00,decision-2025-06-12_48,http://rs.tdwg.org/decisions/,2025-06-12,TDWG Executive Committee decision 48,Pathway Controlled Vocabulary ratified as a part of the Darwin Core Standard. See https://github.com/tdwg/hc/milestone/19.
2025-08-17T14:15:34-05:00,decision-2025-07-10_49,http://rs.tdwg.org/decisions/,2025-07-10,TDWG Executive Committee decision 49,Namespace errata in Chronometric Age Extension corrected by Darwin Core Maintenance Group. See https://github.com/tdwg/dwc/issues/559
2025-08-17T14:21:47-05:00,decision-2025-07-10_50,http://rs.tdwg.org/decisions/,2025-07-10,TDWG Executive Committee decision 50,Namespace errata in Darwin Core main vocabulary corrected by Darwin Core Maintenance Group. See https://github.com/tdwg/dwc/issues/559
2025-08-17T14:26:42-05:00,decision-2025-07-10_51,http://rs.tdwg.org/decisions/,2025-07-10,TDWG Executive Committee decision 51,Namespace errata in Humboldt Extension corrected by Darwin Core Maintenance Group. See https://github.com/tdwg/dwc/issues/559
2026-02-04T14:15:41-05:00,decision-2026-01-23_52,http://rs.tdwg.org/decisions/,2026-01-23,TDWG Executive Committee decision 52,"Audiovisual Core term updates for CVterm, Digital3DResource, and audio filters"
