link_column,link_property,suffix1,link_characters,suffix2,filename,forward_link
term,dcterms:isVersionOf,version,http,,Iptc4xmpExt-for-ac-versions.csv,dcterms:hasVersion
replaced_term,dcterms:replaces,replacing_term,http,,Iptc4xmpExt-for-ac-replacements.csv,dcterms:isReplacedBy
