document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_inScheme,definition,definition_derived_from,usage,notes,examples,controlled_value_string,type,term_localName
2024-03-11T21:37:22-05:00,http://rs.tdwg.org/boolean/values/version/b-2023-03-13,b-2023-03-13,http://rs.tdwg.org/boolean/values/version/,2023-03-13,recommended,,,,boolean values concept scheme,,A SKOS Concept Scheme for boolean values,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,b
2024-03-11T21:37:22-05:00,http://rs.tdwg.org/boolean/values/version/b0-2023-03-13,b0-2023-03-13,http://rs.tdwg.org/boolean/values/version/,2023-03-13,recommended,,,,false,b,Concept representing a boolean false value,,"In systems where datatyping is possible, this value SHOULD be serialized using the datatyped value appropriate for false values in that system.",,,false,http://www.w3.org/2004/02/skos/core#Concept,b0
2024-03-11T21:37:22-05:00,http://rs.tdwg.org/boolean/values/version/b1-2023-03-13,b1-2023-03-13,http://rs.tdwg.org/boolean/values/version/,2023-03-13,recommended,,,,true,b,Concept representing a boolean true value,,"In systems where datatyping is possible, this value SHOULD be serialized using the datatyped value appropriate for true values in that system.",,,true,http://www.w3.org/2004/02/skos/core#Concept,b1
