term_localName,label,rdfs_comment,skos_scopeNote,dcterms_description,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_layer,tdwgutility_required,tdwgutility_repeatable
freqLow,Lower frequency bound,The lowest frequency of the phenomena reflected in the multimedia item or Region of Interest.,Numeric value in hertz (Hz),"This term refers to the sound events depicted and not to the constraints of the recording medium, so are in principle independent from sampleRate. If dwc:scientificName is specified and if applied to the entire multimedia item, these frequency bounds refer to the sounds of the species given in the dwc:scientificName throughout the whole recording. Although many users will specify both freqLow and freqHigh, it is permitted to specify just one or the other, for example if only one of the bounds is discernible.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ContentCoverage,,,No,No
freqHigh,Upper frequency bound,The highest frequency of the phenomena reflected in the multimedia item or Region of Interest.,Numeric value in hertz (Hz),"This term refers to the sound events depicted and not to the constraints of the recording medium, so are in principle independent from sampleRate. If dwc:scientificName is specified and if applied to the entire multimedia item, these frequency bounds refer to the sounds of the species given in the dwc:scientificName throughout the whole recording. Although many users will specify both freqLow and freqHigh, it is permitted to specify just one or the other, for example if only one of the bounds is discernible.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ContentCoverage,,,No,No
RegionOfInterest,Region of Interest Class,A designated region of a media item bounded in dimensions appropriate for the media type.,,"Dimensions may include spatial, temporal, or frequency bounds.",,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/ac/terms/RegionOfInterest,,,No,
hasROI,Has Region of Interest,A region of interest located within the subject media item.,ac:hasROI is the inverse property of ac:isROIOf.,Used to link a subject media item to an object region of interest.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ac/terms/RegionOfInterest,,,No,Yes
isROIOf,Is Region of Interest of,The media item within which a region of interest is located.,ac:isROIOf is the inverse property of ac:hasROI.,Used to link a subject region of interest to an object media item.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ac/terms/RegionOfInterest,,,No,No
xFrac,Fractional X,"The horizontal position of a reference point, measured from the left side of the media item and expressed as a decimal fraction of the width of the media item.","A valid value MUST be greater than or equal to zero and less than or equal to one. The precision of this value SHOULD be great enough that when the ac:xFrac value is multiplied by the exif:PixelXDimension of the Best Quality variant of the Service Access point, rounding to the nearest integer results in the same horizontal pixel location originally used to define the point.","This point can serve as the horizontal position of the upper left corner of a bounding rectangle, or as the center of a circle.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ac/terms/RegionOfInterest,,,No,No
yFrac,Fractional Y,"The vertical position of a reference point, measured from the top of the media item and expressed as a decimal fraction of the height of the media item.","A valid value MUST be greater than or equal to zero and less than or equal to one. The precision of this value SHOULD be great enough that when the ac:yFrac value is multiplied by the exif:PixelYDimension of the Best Quality variant of the Service Access point, rounding to the nearest integer results in the same vertical pixel originally used to define the point.","This point can serve as the vertical position of the upper left corner of a bounding rectangle, or as the center of a circle.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ac/terms/RegionOfInterest,,,No,No
widthFrac,Fractional Width,"The width of the bounding rectangle, expressed as a decimal fraction of the width of the media item.","The sum of a valid value plus ac:xFrac MUST be greater than zero and less than or equal to one. The precision of this value SHOULD be great enough that when ac:widthFrac and ac:xFrac are used with the exif:PixelXDimension of the Best Quality variant of the Service Access point to calculate the lower right corner of the rectangle, rounding to the nearest integer results in the same horizontal pixel originally used to define the point. This term MUST NOT be used with ac:radius to define a region of interest.","Zero-sized bounding rectangles are not allowed. To designate a point, use the radius option with a zero value.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ac/terms/RegionOfInterest,,,No,No
heightFrac,Fractional Height,"The height of the bounding rectangle, expressed as a decimal fraction of the height of the media item.","The sum of a valid value plus ac:yFrac MUST be greater than zero and less than or equal to one. The precision of this value SHOULD be great enough that when ac:heightFrac and ac:yFrac are used with the exif:PixelYDimension of the Best Quality variant of the Service Access point to calculate the lower right corner of the rectangle, rounding to the nearest integer results in the same vertical pixel originally used to define the point. This term MUST NOT be used with ac:radius to define a region of interest.","Zero-sized bounding rectangles are not allowed. To designate a point, use the radius option with a zero value.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ac/terms/RegionOfInterest,,,No,No
radius,Radius,"The radius of a bounding circle or arc, expressed as a fraction of the width of the media item.","A valid value MUST be greater than or equal to zero. A valid value MAY cause the designated circle to extend beyond the bounds of the media item. In that case, the arc within the media item plus the bounds of the media item specify the region of interest. This term MUST NOT be used with ac:widthFrac or ac:heightFrac to define a region of interest.","This term may be used with ac:xFrac and ac:yFrac to define a point. In that case, the implication is that the point falls on some object of interest within the media item, but nothing more can be assumed about the bounds of that object.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/ac/terms/RegionOfInterest,,,No,No
