"identifier","context","text"
"available:label","Label for Date Available http://rs.tdwg.org/dwc/terms/available",""
"available:rdfs_comment","Comment for Date Available http://rs.tdwg.org/dwc/terms/available",""
"available:dcterms_description","Description for Date Available http://rs.tdwg.org/dwc/terms/available",""
"creator:label","Label for Creator http://rs.tdwg.org/dwc/terms/creator",""
"creator:rdfs_comment","Comment for Creator http://rs.tdwg.org/dwc/terms/creator",""
"creator:dcterms_description","Description for Creator http://rs.tdwg.org/dwc/terms/creator",""
"description:label","Label for Description http://rs.tdwg.org/dwc/terms/description",""
"description:rdfs_comment","Comment for Description http://rs.tdwg.org/dwc/terms/description",""
"description:dcterms_description","Description for Description http://rs.tdwg.org/dwc/terms/description",""
"format:label","Label for Format (IRI) http://rs.tdwg.org/dwc/terms/format",""
"format:rdfs_comment","Comment for Format (IRI) http://rs.tdwg.org/dwc/terms/format",""
"format:dcterms_description","Description for Format (IRI) http://rs.tdwg.org/dwc/terms/format",""
"identifier:label","Label for Identifier http://rs.tdwg.org/dwc/terms/identifier","معرّف"
"identifier:rdfs_comment","Comment for Identifier http://rs.tdwg.org/dwc/terms/identifier",""
"identifier:dcterms_description","Description for Identifier http://rs.tdwg.org/dwc/terms/identifier",""
"language:label","Label for Language http://rs.tdwg.org/dwc/terms/language",""
"language:rdfs_comment","Comment for Language http://rs.tdwg.org/dwc/terms/language",""
"language:dcterms_description","Description for Language http://rs.tdwg.org/dwc/terms/language",""
"modified:label","Label for Modified http://rs.tdwg.org/dwc/terms/modified",""
"modified:rdfs_comment","Comment for Modified http://rs.tdwg.org/dwc/terms/modified",""
"modified:dcterms_description","Description for Modified http://rs.tdwg.org/dwc/terms/modified",""
"rights:label","Label for Copyright Statement http://rs.tdwg.org/dwc/terms/rights",""
"rights:rdfs_comment","Comment for Copyright Statement http://rs.tdwg.org/dwc/terms/rights",""
"rights:dcterms_description","Description for Copyright Statement http://rs.tdwg.org/dwc/terms/rights",""
"source:label","Label for Published Source http://rs.tdwg.org/dwc/terms/source",""
"source:rdfs_comment","Comment for Published Source http://rs.tdwg.org/dwc/terms/source",""
"source:dcterms_description","Description for Published Source http://rs.tdwg.org/dwc/terms/source",""
"temporal:label","Label for Temporal Coverage http://rs.tdwg.org/dwc/terms/temporal",""
"temporal:rdfs_comment","Comment for Temporal Coverage http://rs.tdwg.org/dwc/terms/temporal",""
"temporal:dcterms_description","Description for Temporal Coverage http://rs.tdwg.org/dwc/terms/temporal",""
"title:label","Label for Title http://rs.tdwg.org/dwc/terms/title",""
"title:rdfs_comment","Comment for Title http://rs.tdwg.org/dwc/terms/title",""
"title:dcterms_description","Description for Title http://rs.tdwg.org/dwc/terms/title",""
"type:label","Label for Type http://rs.tdwg.org/dwc/terms/type",""
"type:rdfs_comment","Comment for Type http://rs.tdwg.org/dwc/terms/type",""
"type:dcterms_description","Description for Type http://rs.tdwg.org/dwc/terms/type",""
