"identifier","context","text"
"LatimerCoreScheme:http~//rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme:definition","Definition for Latimer Core Scheme (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme) http://rs.tdwg.org/dwc/terms/LatimerCoreScheme",""
"LatimerCoreScheme:http~//rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme:notes","Notes for Latimer Core Scheme (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme) http://rs.tdwg.org/dwc/terms/LatimerCoreScheme",""
"MeasurementOrFact:http~//rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact:label","Label for Measurement or Fact (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact) http://rs.tdwg.org/dwc/terms/MeasurementOrFact",""
"MeasurementOrFact:http~//rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact:definition","Definition for Measurement or Fact (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact) http://rs.tdwg.org/dwc/terms/MeasurementOrFact",""
"MeasurementOrFact:http~//rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact:notes","Notes for Measurement or Fact (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact) http://rs.tdwg.org/dwc/terms/MeasurementOrFact",""
"ObjectClassification:http~//rs.tdwg.org/dwc/terms/attributes/ObjectClassification:label","Label for Object Classification (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ObjectClassification) http://rs.tdwg.org/dwc/terms/ObjectClassification",""
"ObjectClassification:http~//rs.tdwg.org/dwc/terms/attributes/ObjectClassification:definition","Definition for Object Classification (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ObjectClassification) http://rs.tdwg.org/dwc/terms/ObjectClassification",""
"ObjectClassification:http~//rs.tdwg.org/dwc/terms/attributes/ObjectClassification:notes","Notes for Object Classification (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ObjectClassification) http://rs.tdwg.org/dwc/terms/ObjectClassification",""
"ObjectGroup:http~//rs.tdwg.org/dwc/terms/attributes/ObjectGroup:label","Label for Object Group (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup) http://rs.tdwg.org/dwc/terms/ObjectGroup",""
"ObjectGroup:http~//rs.tdwg.org/dwc/terms/attributes/ObjectGroup:definition","Definition for Object Group (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup) http://rs.tdwg.org/dwc/terms/ObjectGroup",""
"OrganisationalUnit:http~//rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit:label","Label for Organisational Unit (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit) http://rs.tdwg.org/dwc/terms/OrganisationalUnit",""
"OrganisationalUnit:http~//rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit:definition","Definition for Organisational Unit (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit) http://rs.tdwg.org/dwc/terms/OrganisationalUnit",""
"OrganisationalUnit:http~//rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit:notes","Notes for Organisational Unit (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit) http://rs.tdwg.org/dwc/terms/OrganisationalUnit",""
