"identifier","context","text"
"MeasurementOrFact:notes","Notes for Measurement or Fact http://rs.tdwg.org/dwc/terms/MeasurementOrFact","Cette classe peut être utilisée pour appliquer des mesures, des faits ou des récits au ObjectGroup dans son ensemble, ou pour qualifier la relation entre le ObjectGroup et un attribut associé. Par exemple, un ObjectGroup peut contenir 100 objets, dont 40 proviennent d'Europe et 60 d'Afrique. Dans cet exemple, un MeasurementOrFact (décompte de 100) serait attaché à l'ObjectGroup, et un à chacune des deux relations entre l'ObjectGroup et le GeographicContext (Europe : décompte de 40, Afrique : décompte de 60)."
"ObjectClassification:label","Label for Object Classification http://rs.tdwg.org/dwc/terms/ObjectClassification","Classification de l'Objet"
"ObjectClassification:definition","Definition for Object Classification http://rs.tdwg.org/dwc/terms/ObjectClassification","Une classification informelle du type d'objets au sein de l'ObjectGroup, à l'aide d'une structure hiérarchique."
"ObjectClassification:notes","Notes for Object Classification http://rs.tdwg.org/dwc/terms/ObjectClassification","Cette classe est utilisée pour catégoriser l'ObjectGroup selon une hiérarchie informelle et autoréférentielle. Par exemple, elle peut être utilisée pour créer une hiérarchie englobant des collections biologiques, géologiques et anthropologiques, lorsqu'une taxonomie formelle unique n'est pas appropriée."
"ObjectGroup:label","Label for Object Group http://rs.tdwg.org/dwc/terms/ObjectGroup","Groupe d'Objet"
"ObjectGroup:definition","Definition for Object Group http://rs.tdwg.org/dwc/terms/ObjectGroup","Un ensemble d'objets regroupés intentionnellement et présentant une ou plusieurs caractéristiques communes."
"OrganisationalUnit:label","Label for Organisational Unit http://rs.tdwg.org/dwc/terms/OrganisationalUnit","Entité Organisationnelle"
"OrganisationalUnit:definition","Definition for Organisational Unit http://rs.tdwg.org/dwc/terms/OrganisationalUnit","Une entité au sein d'une hiérarchie organisationnelle qui peut se situer au niveau institutionnel, au-dessus ou au-dessous de celui-ci."
"OrganisationalUnit:notes","Notes for Organisational Unit http://rs.tdwg.org/dwc/terms/OrganisationalUnit","Cette classe peut représenter n'importe quel niveau d'entité organisationnelle, y compris des institutions (par exemple un muséum), des unités supérieures (par exemple une université à laquelle appartient un muséum) et des structures plus détaillées (par exemple les départements et les divisions au sein d'un muséum). Elle peut être utilisée pour organiser ces différentes unités à différents niveaux dans une structure hiérarchique. Cette classe combine des aspects de la classe org:Organization (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:Organization) et de la classe org:OrganizationalUnit (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:OrganizationalUnit) de l'ontologie d'organisation ORG du W3C (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#overview-of-ontology). La pratique optimale recommandée consiste à associer un identifiant organisationnel unique et persistant (PID) à chaque entité organisationnelle créée. Cela permettra une identification sans ambiguïté et continue de cette entité, ainsi que la création de hiérarchies organisationnelles. Les fournisseurs actuels de PID pour les organisations sont, par exemple, https://grid.ac/ et https://ror.org/. La fourniture de PIDs organisationnels pourrait être étendue aux entités intra-organisationnelles à l'avenir. Les propriétés de Class: Identifier peuvent être utilisées pour ajouter des informations d'identification pour les entités organisationnelles."
"Person:label","Label for Person http://rs.tdwg.org/dwc/terms/Person","Personne"
"Person:definition","Definition for Person http://rs.tdwg.org/dwc/terms/Person","Une personne (vivante, morte, mort-vivante ou fictive)."
"Person:usage","Usage for Person http://rs.tdwg.org/dwc/terms/Person","Une personne (vivante ou décédée)."
"Person:notes","Notes for Person http://rs.tdwg.org/dwc/terms/Person","Ce concept devrait être aligné à la classe Person de Schema.org (https://schema.org/Person) et à la classe prov:Person (http://www.w3.org/ns/prov#Person) dans l'ontologie PROV. Dans cette dernière, il s'agit d'une sous-classe de prov:Agent, qui lui permet de correspondre aux recommandations RDA sur l'attribution (http://dx.doi.org/10.15497/RDA00029). La définition est tirée de la classe Schema.org."
"PersonRole:label","Label for Person Role http://rs.tdwg.org/dwc/terms/PersonRole","Rôle d'une Personne"
"PersonRole:definition","Definition for Person Role http://rs.tdwg.org/dwc/terms/PersonRole","Une association définie entre une personne ou une entité organisationnelle et une instance telle qu'un ObjectGroup ou un MeasurementOrFact, qui permet de contextualiser la relation en fonction d'un rôle et d'une période spécifiques."
