identifier,context,text
GeologicalContext:http~//rs.tdwg.org/dwc/terms/attributes/GeologicalContext:label,Label for Geological Context (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext) http://rs.tdwg.org/dwc/terms/GeologicalContext,Geological Context
GeologicalContext:http~//rs.tdwg.org/dwc/terms/attributes/GeologicalContext:definition,Definition for Geological Context (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/GeologicalContext) http://rs.tdwg.org/dwc/terms/GeologicalContext,"Geological information, such as stratigraphy, that qualifies a region or place."
Identifier:http~//rs.tdwg.org/dwc/terms/attributes/Identifier:label,Label for Identifier (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Identifier) http://rs.tdwg.org/dwc/terms/Identifier,Identifier
Identifier:http~//rs.tdwg.org/dwc/terms/attributes/Identifier:definition,Definition for Identifier (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Identifier) http://rs.tdwg.org/dwc/terms/Identifier,"A numeric, textual value, or reference such as an IRI, that can be used to uniquely identify the object to which it is attached."
Identifier:http~//rs.tdwg.org/dwc/terms/attributes/Identifier:notes,Notes for Identifier (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Identifier) http://rs.tdwg.org/dwc/terms/Identifier,"Use this class to document stable identifiers that describe the collections and associated entities being represented in the collection description. For example, person identifiers, taxon identifiers, institution identifiers, organisational unit identifiers, gazetteer identifiers. Identifiers represented by this class may be globally unique, or unique within a given context."
LatimerCoreScheme:http~//rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme:label,Label for Latimer Core Scheme (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme) http://rs.tdwg.org/dwc/terms/LatimerCoreScheme,Latimer Core Scheme
LatimerCoreScheme:http~//rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme:definition,Definition for Latimer Core Scheme (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme) http://rs.tdwg.org/dwc/terms/LatimerCoreScheme,"A grouping of multiple ObjectGroups for a particular use case, purpose or implementation."
LatimerCoreScheme:http~//rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme:notes,Notes for Latimer Core Scheme (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/LatimerCoreScheme) http://rs.tdwg.org/dwc/terms/LatimerCoreScheme,"Where the same objects within the same collection might be described by more than one ObjectGroup for different purposes (for examples, a 'Darwin Fossil Mammals' collection description might overlap with a 'Offsite Palaeontology' collection description), this class can be used to distinguish between them and avoid double-counting of metrics in queries against the data."
MeasurementOrFact:http~//rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact:label,Label for Measurement or Fact (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact) http://rs.tdwg.org/dwc/terms/MeasurementOrFact,Measurement or Fact
MeasurementOrFact:http~//rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact:definition,Definition for Measurement or Fact (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact) http://rs.tdwg.org/dwc/terms/MeasurementOrFact,"A measurement of or fact about a class within the standard, or a relationship between the ObjectGroup and an associated class."
MeasurementOrFact:http~//rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact:notes,Notes for Measurement or Fact (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/MeasurementOrFact) http://rs.tdwg.org/dwc/terms/MeasurementOrFact,"This class can be used to apply measurements, facts or narratives to the ObjectGroup as a whole, or used to qualify the relationship between the ObjectGroup and an associated attribute. For example, an ObjectGroup may contain 100 objects, of which 40 are from Europe and 60 from Africa. In this example, one MeasurementOrFact (count of 100) would be attached to the ObjectGroup, and one to each of the two relationships between the ObjectGroup and GeographicContext (Europe: count of 40, Africa: count of 60)."
ObjectClassification:http~//rs.tdwg.org/dwc/terms/attributes/ObjectClassification:label,Label for Object Classification (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ObjectClassification) http://rs.tdwg.org/dwc/terms/ObjectClassification,Object Classification
ObjectClassification:http~//rs.tdwg.org/dwc/terms/attributes/ObjectClassification:definition,Definition for Object Classification (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ObjectClassification) http://rs.tdwg.org/dwc/terms/ObjectClassification,"An informal classification of the type of objects within the ObjectGroup, using a hierarchical structure."
ObjectClassification:http~//rs.tdwg.org/dwc/terms/attributes/ObjectClassification:notes,Notes for Object Classification (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ObjectClassification) http://rs.tdwg.org/dwc/terms/ObjectClassification,"This class is used to categorise the ObjectGroup according to an informal, self-referential hierarchy. For example, this can be used to create a hierarchy encompassing biological, geological and anthropological collections, where a single formal taxonomy isn't appropriate."
ObjectGroup:http~//rs.tdwg.org/dwc/terms/attributes/ObjectGroup:label,Label for Object Group (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup) http://rs.tdwg.org/dwc/terms/ObjectGroup,Object Group
ObjectGroup:http~//rs.tdwg.org/dwc/terms/attributes/ObjectGroup:definition,Definition for Object Group (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ObjectGroup) http://rs.tdwg.org/dwc/terms/ObjectGroup,An intentionally grouped set of objects with one or more common characteristics.
OrganisationalUnit:http~//rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit:label,Label for Organisational Unit (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit) http://rs.tdwg.org/dwc/terms/OrganisationalUnit,Organisational Unit
OrganisationalUnit:http~//rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit:definition,Definition for Organisational Unit (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/OrganisationalUnit) http://rs.tdwg.org/dwc/terms/OrganisationalUnit,"A unit within an organisational hierarchy which may be at, above or below the institutional level."
