document_modified,version,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,skos_scopeNote,dcterms_description,rdf_type,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_layer,tdwgutility_required,tdwgutility_repeatable,term_localName
2017-09-23T06:53:00-05:00,http://ns.adobe.com/exif/1.0/PixelXDimension#,,,,,,,Image Width,"Information specific to compressed data. When a compressed file is recorded, the valid width of the meaningful image shall be recorded in this tag, whether or not there is padding data or a restart marker.  This tag shall not exist in an uncompressed file.",The width in pixels of the media specified by the access point.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/ServiceAccessPoint,,1,No,No,PixelXDimension
2017-09-23T06:53:00-05:00,http://ns.adobe.com/exif/1.0/PixelYDimension#,,,,,,,Image Height,"Information specific to compressed data. When a compressed file is recorded, the valid height of the meaningful image shall be recorded in this tag, whether or not there is padding data or a restart marker.  This tag shall not exist in an uncompressed file.",The height in pixels of the media specified by the access point.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/attributes/ServiceAccessPoint,,1,No,No,PixelYDimension
