"identifier","context","text"
"licensingException:dcterms_description","Description for Licensing Exception Statement http://rs.tdwg.org/dwc/terms/licensingException",""
"metadataCreator:label","Label for Metadata Creator http://rs.tdwg.org/dwc/terms/metadataCreator",""
"metadataCreator:rdfs_comment","Comment for Metadata Creator http://rs.tdwg.org/dwc/terms/metadataCreator",""
"metadataCreator:dcterms_description","Description for Metadata Creator http://rs.tdwg.org/dwc/terms/metadataCreator",""
"metadataCreatorLiteral:label","Label for Metadata Creator http://rs.tdwg.org/dwc/terms/metadataCreatorLiteral",""
"metadataCreatorLiteral:rdfs_comment","Comment for Metadata Creator http://rs.tdwg.org/dwc/terms/metadataCreatorLiteral",""
"metadataCreatorLiteral:dcterms_description","Description for Metadata Creator http://rs.tdwg.org/dwc/terms/metadataCreatorLiteral",""
"metadataLanguage:label","Label for Metadata Language http://rs.tdwg.org/dwc/terms/metadataLanguage",""
"metadataLanguage:rdfs_comment","Comment for Metadata Language http://rs.tdwg.org/dwc/terms/metadataLanguage",""
"metadataLanguage:dcterms_description","Description for Metadata Language http://rs.tdwg.org/dwc/terms/metadataLanguage",""
"metadataLanguage:skos_scopeNote","Usage for Metadata Language http://rs.tdwg.org/dwc/terms/metadataLanguage",""
"metadataLanguageLiteral:label","Label for Metadata Language http://rs.tdwg.org/dwc/terms/metadataLanguageLiteral",""
"metadataLanguageLiteral:rdfs_comment","Comment for Metadata Language http://rs.tdwg.org/dwc/terms/metadataLanguageLiteral",""
"metadataLanguageLiteral:dcterms_description","Description for Metadata Language http://rs.tdwg.org/dwc/terms/metadataLanguageLiteral",""
"metadataLanguageLiteral:skos_scopeNote","Usage for Metadata Language http://rs.tdwg.org/dwc/terms/metadataLanguageLiteral",""
"metadataProvider:label","Label for Metadata Provider http://rs.tdwg.org/dwc/terms/metadataProvider",""
"metadataProvider:rdfs_comment","Comment for Metadata Provider http://rs.tdwg.org/dwc/terms/metadataProvider",""
"metadataProvider:dcterms_description","Description for Metadata Provider http://rs.tdwg.org/dwc/terms/metadataProvider",""
"metadataProviderLiteral:label","Label for Metadata Provider http://rs.tdwg.org/dwc/terms/metadataProviderLiteral",""
"metadataProviderLiteral:rdfs_comment","Comment for Metadata Provider http://rs.tdwg.org/dwc/terms/metadataProviderLiteral",""
"metadataProviderLiteral:dcterms_description","Description for Metadata Provider http://rs.tdwg.org/dwc/terms/metadataProviderLiteral",""
"otherScientificName:label","Label for Other Scientific Name http://rs.tdwg.org/dwc/terms/otherScientificName",""
"otherScientificName:rdfs_comment","Comment for Other Scientific Name http://rs.tdwg.org/dwc/terms/otherScientificName",""
"otherScientificName:dcterms_description","Description for Other Scientific Name http://rs.tdwg.org/dwc/terms/otherScientificName",""
"physicalSetting:label","Label for Physical Setting http://rs.tdwg.org/dwc/terms/physicalSetting",""
"physicalSetting:rdfs_comment","Comment for Physical Setting http://rs.tdwg.org/dwc/terms/physicalSetting",""
"physicalSetting:dcterms_description","Description for Physical Setting http://rs.tdwg.org/dwc/terms/physicalSetting",""
"physicalSetting:skos_scopeNote","Usage for Physical Setting http://rs.tdwg.org/dwc/terms/physicalSetting",""
"provider:label","Label for Provider http://rs.tdwg.org/dwc/terms/provider",""
"provider:rdfs_comment","Comment for Provider http://rs.tdwg.org/dwc/terms/provider",""
"provider:dcterms_description","Description for Provider http://rs.tdwg.org/dwc/terms/provider",""
"provider:skos_scopeNote","Usage for Provider http://rs.tdwg.org/dwc/terms/provider",""
"providerID:label","Label for Provider ID http://rs.tdwg.org/dwc/terms/providerID",""
"providerID:rdfs_comment","Comment for Provider ID http://rs.tdwg.org/dwc/terms/providerID",""
"providerID:dcterms_description","Description for Provider ID http://rs.tdwg.org/dwc/terms/providerID",""
"providerLiteral:label","Label for Provider http://rs.tdwg.org/dwc/terms/providerLiteral",""
"providerLiteral:rdfs_comment","Comment for Provider http://rs.tdwg.org/dwc/terms/providerLiteral",""
"providerLiteral:dcterms_description","Description for Provider http://rs.tdwg.org/dwc/terms/providerLiteral",""
"providerLiteral:skos_scopeNote","Usage for Provider http://rs.tdwg.org/dwc/terms/providerLiteral",""
"providerManagedID:label","Label for Provider-managed ID http://rs.tdwg.org/dwc/terms/providerManagedID",""
"providerManagedID:rdfs_comment","Comment for Provider-managed ID http://rs.tdwg.org/dwc/terms/providerManagedID",""
"providerManagedID:dcterms_description","Description for Provider-managed ID http://rs.tdwg.org/dwc/terms/providerManagedID",""
"relatedResourceID:label","Label for Related Resource ID http://rs.tdwg.org/dwc/terms/relatedResourceID","Identifiant de la ressource liée"
"relatedResourceID:rdfs_comment","Comment for Related Resource ID http://rs.tdwg.org/dwc/terms/relatedResourceID",""
"relatedResourceID:dcterms_description","Description for Related Resource ID http://rs.tdwg.org/dwc/terms/relatedResourceID",""
"resourceCreationTechnique:label","Label for Resource Creation Technique http://rs.tdwg.org/dwc/terms/resourceCreationTechnique",""
"resourceCreationTechnique:rdfs_comment","Comment for Resource Creation Technique http://rs.tdwg.org/dwc/terms/resourceCreationTechnique",""
"resourceCreationTechnique:dcterms_description","Description for Resource Creation Technique http://rs.tdwg.org/dwc/terms/resourceCreationTechnique",""
"resourceCreationTechnique:examples","Examples for Resource Creation Technique http://rs.tdwg.org/dwc/terms/resourceCreationTechnique",""
"reviewer:label","Label for Reviewer http://rs.tdwg.org/dwc/terms/reviewer",""
"reviewer:rdfs_comment","Comment for Reviewer http://rs.tdwg.org/dwc/terms/reviewer",""
"reviewer:dcterms_description","Description for Reviewer http://rs.tdwg.org/dwc/terms/reviewer",""
"reviewer:skos_scopeNote","Usage for Reviewer http://rs.tdwg.org/dwc/terms/reviewer",""
"reviewerComments:label","Label for Reviewer Comments http://rs.tdwg.org/dwc/terms/reviewerComments",""
"reviewerComments:rdfs_comment","Comment for Reviewer Comments http://rs.tdwg.org/dwc/terms/reviewerComments",""
"reviewerComments:dcterms_description","Description for Reviewer Comments http://rs.tdwg.org/dwc/terms/reviewerComments",""
"reviewerLiteral:label","Label for Reviewer http://rs.tdwg.org/dwc/terms/reviewerLiteral",""
"reviewerLiteral:rdfs_comment","Comment for Reviewer http://rs.tdwg.org/dwc/terms/reviewerLiteral",""
"reviewerLiteral:dcterms_description","Description for Reviewer http://rs.tdwg.org/dwc/terms/reviewerLiteral",""
"reviewerLiteral:skos_scopeNote","Usage for Reviewer http://rs.tdwg.org/dwc/terms/reviewerLiteral",""
"serviceExpectation:label","Label for Service Expectation http://rs.tdwg.org/dwc/terms/serviceExpectation",""
"serviceExpectation:rdfs_comment","Comment for Service Expectation http://rs.tdwg.org/dwc/terms/serviceExpectation",""
"serviceExpectation:dcterms_description","Description for Service Expectation http://rs.tdwg.org/dwc/terms/serviceExpectation",""
"subjectCategoryVocabulary:label","Label for Subject Category Vocabulary http://rs.tdwg.org/dwc/terms/subjectCategoryVocabulary",""
"subjectCategoryVocabulary:rdfs_comment","Comment for Subject Category Vocabulary http://rs.tdwg.org/dwc/terms/subjectCategoryVocabulary",""
"subjectCategoryVocabulary:dcterms_description","Description for Subject Category Vocabulary http://rs.tdwg.org/dwc/terms/subjectCategoryVocabulary",""
"subjectCategoryVocabulary:skos_scopeNote","Usage for Subject Category Vocabulary http://rs.tdwg.org/dwc/terms/subjectCategoryVocabulary",""
"subjectOrientation:label","Label for Subject Orientation http://rs.tdwg.org/dwc/terms/subjectOrientation",""
"subjectOrientation:rdfs_comment","Comment for Subject Orientation http://rs.tdwg.org/dwc/terms/subjectOrientation",""
"subjectOrientation:skos_scopeNote","Usage for Subject Orientation http://rs.tdwg.org/dwc/terms/subjectOrientation",""
"subjectPart:label","Label for Subject Part http://rs.tdwg.org/dwc/terms/subjectPart",""
"subjectPart:rdfs_comment","Comment for Subject Part http://rs.tdwg.org/dwc/terms/subjectPart",""
"subjectPart:skos_scopeNote","Usage for Subject Part http://rs.tdwg.org/dwc/terms/subjectPart",""
"subtype:label","Label for Subtype (IRI) http://rs.tdwg.org/dwc/terms/subtype",""
"subtype:rdfs_comment","Comment for Subtype (IRI) http://rs.tdwg.org/dwc/terms/subtype",""
"subtype:dcterms_description","Description for Subtype (IRI) http://rs.tdwg.org/dwc/terms/subtype",""
"subtype:skos_scopeNote","Usage for Subtype (IRI) http://rs.tdwg.org/dwc/terms/subtype",""
"subtypeLiteral:label","Label for Subtype (literal) http://rs.tdwg.org/dwc/terms/subtypeLiteral",""
