document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,skos_broader,skos_inScheme,definition,definition_derived_from,usage,notes,examples,controlled_value_string,type
2023-05-07T19:56:32-05:00,r,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,subject orientation concept scheme,,,a SKOS concept scheme for orientation,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2023-05-07T19:56:32-05:00,r0000,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,unspecified orientation,,r,orientation is not known because it is not specified,,,,,unspecifiedOrientation,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0001,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,anterior side,,r,view of the side towards the head or forward end of the organism,http://purl.obolibrary.org/obo/BSPO_0000055,,,,anterior,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0002,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,posterior side,,r,view of the side away from the head or towards the rear end of the organism,http://purl.obolibrary.org/obo/BSPO_0000056,,,,posterior,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0003,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,lateral side,,r,view of the side perpendicular to the main axis of the organism,http://purl.obolibrary.org/obo/BSPO_0000066,,,,lateral,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0004,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,right side,r0003,r,view of the right side of a whole bilaterally symmetric organism,http://purl.obolibrary.org/obo/BSPO_0000007,,,,right,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0005,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,left side,r0003,r,view of the left side of a whole bilaterally symmetric organism,http://purl.obolibrary.org/obo/BSPO_0000000,,,,left,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0006,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,dorsal side,,r,view of the side dorsal to the frontal plane of a bilaterally symmetric organism,http://purl.obolibrary.org/obo/BSPO_0000063,,,,dorsal,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0007,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,ventral side,,r,view of the side ventral to the frontal plane of a bilaterally symmetric organism,http://purl.obolibrary.org/obo/BSPO_0000068,,,,ventral,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0008,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,upper side,,r,view of the side of the part oriented toward the central axis of a plant (adaxial),http://purl.obolibrary.org/obo/PATO_0002047,"In plants, use this term rather than ""dorsal"". For types of plants or fungi having horizontal parts and lacking a clear central axis, this is the surface away from the ground. ",BSPO has adaxial/abaxial axis http://purl.obolibrary.org/obo/BSPO_0000195 but not the sides defined by that axis,,upper,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0009,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,lower side,,r,view of the side of the part oriented away from the central axis of a plant (abaxial),http://purl.obolibrary.org/obo/PATO_0002046,"In plants, use this term rather than ""ventral"". For types of plants or fungi having horizontal parts and lacking a clear central axis, this is the surface towards the ground. ",BSPO has adaxial/abaxial axis http://purl.obolibrary.org/obo/BSPO_0000195 but not the sides defined by that axis,,lower,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0010,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,apical side,,r,view of the side of the part oriented towards the end of the axis away from its attachment point (the apex),http://purl.obolibrary.org/obo/BSPO_0000057,,,,apical,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0011,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,basal side,,r,view of the side of the part oriented towards the attachment point of the axis,http://purl.obolibrary.org/obo/BSPO_0000058,,,,basal,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0012,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,oral side,,r,view of the side of the organism oriented towards the oral opening,http://purl.obolibrary.org/obo/BSPO_0015201,,,,oral,http://www.w3.org/2004/02/skos/core#Concept
2023-05-07T19:56:32-05:00,r0013,http://rs.tdwg.org/acorient/values/,2023-04-26,2023-04-26,,,,,aboral side,,r,view of the side of the organism oriented away from the oral opening,http://purl.obolibrary.org/obo/BSPO_0015202,,,,aboral,http://www.w3.org/2004/02/skos/core#Concept
