version_iri,mediaType,accessUri
http://rs-test.tdwg.org/ih/doc/book/1990,print,urn:isbn:0893273589
http://rs-test.tdwg.org/itfbgpr/doc/specification/1987-09-15,application/pdf,https://ia800302.us.archive.org/33/items/internationaltra87syng/internationaltra87syng_bw.pdf
http://rs-test.tdwg.org/itfbgpr/doc/specification/1998,application/pdf,http://www.bgci.org/files/Databases/itf2.pdf
http://rs-test.tdwg.org/frw/doc/book/1986-09-04,print,urn:isbn:0520040279
http://rs-test.tdwg.org/tl/doc/v1/1976,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=1#page/11
http://rs-test.tdwg.org/tl/doc/v2/1979,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=2#page/11
http://rs-test.tdwg.org/tl/doc/v3/1981,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=3#page/7
http://rs-test.tdwg.org/tl/doc/v4/1983,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=4#page/7
http://rs-test.tdwg.org/tl/doc/v5/1985,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=5#page/11
http://rs-test.tdwg.org/tl/doc/v6/1986,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=6#page/7
http://rs-test.tdwg.org/tl/doc/v7/1988,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=7#page/7
http://rs-test.tdwg.org/tl/doc/s1/1992,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=8#page/7
http://rs-test.tdwg.org/tl/doc/s2/1993,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=9#page/7
http://rs-test.tdwg.org/tl/doc/s3/1995,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=10#page/7
http://rs-test.tdwg.org/tl/doc/s4/1997,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=11#page/7
http://rs-test.tdwg.org/tl/doc/s5/1998,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=12#page/7
http://rs-test.tdwg.org/tl/doc/s6/2000,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=13#page/7
http://rs-test.tdwg.org/tl/doc/s7/2008,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=14#page/7
http://rs-test.tdwg.org/tl/doc/s8/2009,text/html,http://www.sil.si.edu/DigitalCollections/tl-2/browse.cfm?vol=15#page/7
http://rs-test.tdwg.org/bph/doc/1968,print,urn:isbn:091319610X
http://rs-test.tdwg.org/bph/doc/2004,print,urn:isbn:0913196789
