documentTitle,current_iri,version_iri,mediaType,version_issued,publisher,license_statement,license_uri,citation,creator,comment,accessUrl,browserRedirectUri,dcterms_isPartOf,abstract
Standards Documentation Specification,http://rs.tdwg.org/sds/doc/specification/,http://rs.tdwg.org/sds/doc/specification/2017-04-25,test/markdown,2017-04-25,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Vocabulary Maintenance Specification Task Group. 2017. Standards Documentation Specification. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/sds/doc/specification/,TDWG Vocabulary Maintenance Specification Task Group,,https://raw.githubusercontent.com/tdwg/vocab/master/sds/documentation-specification.md,https://github.com/tdwg/vocab/blob/master/sds/documentation-specification.md,http://www.tdwg.org/standards/147,This document defines how TDWG standards are to be presented. It provides details about the hierarchical structure of standards and versioning of standards components. It specifies how the properties of standards and their components are to be described in human-readable and machine-readable terms.
Standards Documentation Specification,http://rs.tdwg.org/sds/doc/specification/,http://rs.tdwg.org/sds/doc/specification/2007-11-05,application/pdf,2007-11-05,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TDWG Infrastructure Project. 2007. Draft Standards Documentation Specification. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/sds/doc/specification/2007-11-05,TDWG Infrastructure Project,,https://github.com/tdwg/vocab/raw/master/tdwg-stds-spec.pdf,https://github.com/tdwg/vocab/blob/master/tdwg-stds-spec.pdf,http://www.tdwg.org/standards/147,"This document defines how TDWG standards should be presented. Each standard is a logical directory or folder containing two or more files - a cover page outlining basic meta data for the standard and one or more normative files specifying the standard itself. Rules are specified for the naming of standards and files. Human readable files should be in English, follow basic layout principles and be marked up in XHTML. The legal statements that all documents must contain are defined."
Vocabulary Maintenance Specification,http://rs.tdwg.org/vms/doc/specification/,http://rs.tdwg.org/vms/doc/specification/2017-04-25,test/markdown,2017-04-25,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Vocabulary Maintenance Specification Task Group. 2017. Vocabulary Maintenance Specification. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/vms/doc/specification/,TDWG Vocabulary Maintenance Specification Task Group,,https://raw.githubusercontent.com/tdwg/vocab/master/vms/maintenance-specification.md,https://github.com/tdwg/vocab/blob/master/vms/maintenance-specification.md,http://www.tdwg.org/standards/642,This document describes the processes used to modify TDWG vocabularies and their associated documents.
Audubon Core Term List,http://rs.tdwg.org/ac/doc/termlist/,http://rs.tdwg.org/ac/doc/termlist/2013-10-23,text/html,2013-10-23,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA) License.,http://creativecommons.org/licenses/by-sa/4.0/,Multimedia Resources Task Group. 2013. Audubon Core Term List. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/ac/doc/termlist/,GBIF/TDWG Multimedia Resources Task Group,,https://terms.tdwg.org/wiki/Audubon_Core_Term_List,https://terms.tdwg.org/wiki/Audubon_Core_Term_List,http://www.tdwg.org/standards/638/,"The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections. It aims to represent information that will help to determine whether a particular resource or collection will be fit for some particular biodiversity science application before acquiring the media. Among others, the vocabularies address such concerns as the management of the media and collections, descriptions of their content, their taxonomic, geographic, and temporal coverage, and the appropriate ways to retrieve, attribute and reproduce them. This document contains a list of attributes of each Audubon Core term, including a documentation name, a specified URI, a recommended English label for user interfaces, a definition, and some ancillary notes. "
Audubon Core Structure,http://rs.tdwg.org/ac/doc/structure/,http://rs.tdwg.org/ac/doc/structure/2013-10-23,text/html,2013-10-23,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA) License.,http://creativecommons.org/licenses/by-sa/4.0/,Multimedia Resources Task Group. 2013. Audubon Core Structure. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/ac/doc/structure/,GBIF/TDWG Multimedia Resources Task Group,,https://terms.tdwg.org/wiki/Audubon_Core_Structure,https://terms.tdwg.org/wiki/Audubon_Core_Structure,http://www.tdwg.org/standards/638/,"The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections. These vocabularies aim to represent information that will help to determine whether a particular resource or collection will be fit for some particular biodiversity science application before acquiring the media. Among others, the vocabularies address such concerns as the management of the media and collections, descriptions of their content, their taxonomic, geographic, and temporal coverage, and the appropriate ways to retrieve, attribute and reproduce them. This document contains material introductory to the Audubon Core Term List."
Audubon Core Introduction,http://rs.tdwg.org/ac/doc/introduction/,http://rs.tdwg.org/ac/doc/introduction/2013-10-23,text/html,2013-10-23,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA) License.,http://creativecommons.org/licenses/by-sa/4.0/,Multimedia Resources Task Group. 2013. Audubon Core Introduction. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/ac/doc/introduction/,GBIF/TDWG Multimedia Resources Task Group,,https://terms.tdwg.org/wiki/Audubon_Core,https://terms.tdwg.org/wiki/Audubon_Core,http://www.tdwg.org/standards/638/,"The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections. These vocabularies aim to represent information that will help to determine whether a particular resource or collection will be fit for some particular biodiversity science application before acquiring the media. Among others, the vocabularies address such concerns as the management of the media and collections, descriptions of their content, their taxonomic, geographic, and temporal coverage, and the appropriate ways to retrieve, attribute and reproduce them. "
Audubon Core Guide,http://rs.tdwg.org/ac/doc/guide/,http://rs.tdwg.org/ac/doc/guide/2013-10-15,application/msword ,2013-10-15,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA) License.,http://creativecommons.org/licenses/by-sa/4.0/,Multimedia Resources Task Group. 2013. Audubon Core Guide. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/ac/doc/guide/,GBIF/TDWG Multimedia Resources Task Group,,https://species-id.net/o/media/2/2b/04_AudubonCore1.0NonNormative_docV1.95.doc,https://species-id.net/o/media/2/2b/04_AudubonCore1.0NonNormative_docV1.95.doc,http://www.tdwg.org/standards/638/,The Audubon Core is a set of vocabularies designed to represent metadata for biodiversity multimedia resources and collections. This non-normative document provides some background to the aims and uses of the standard.
Globally Unique Identifiers Applicability Statement,http://rs.tdwg.org/guid/doc/guidas/,http://rs.tdwg.org/guid/doc/guidas/2010-09-09,application/msword ,2010-09-09,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,Globally Unique Identifiers Task Group. 2011. Globally Unique Identifiers (GUID) Applicability Statement. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/guid/doc/guidas/,TDWG Globally Unique Identifiers Task Group,,https://github.com/tdwg/guid-as/raw/master/guid/applicability_statement.doc,https://github.com/tdwg/guid-as/blob/master/guid/applicability_statement.doc,http://www.tdwg.org/standards/150,"This document provides guidance on how to use GUIDs (Globally Unique Identifiers) to meet specific requirements of the biodiversity information community.  It applies to GUIDs in general; there is, or will be, a separate document for the applicability of each specific GUID technology."
Life Sciences Identifiers (LSID) Applicability Statement,http://rs.tdwg.org/guid/doc/lsidas/,http://rs.tdwg.org/guid/doc/lsidas/2009-09-03,application/msword ,2009-09-03,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,Globally Unique Identifiers Task Group. 2011. Life Science Identifiers (LSID) Applicability Statement. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/guid/doc/lsidas/,TDWG Globally Unique Identifiers Task Group,,https://github.com/tdwg/guid-as/raw/master/lsid/applicability_statement.doc,https://github.com/tdwg/guid-as/blob/master/guid/applicability_statement.doc,http://www.tdwg.org/standards/150,This document pides guidance on how to use LSID to meet specific requirements of the biodiversity information community; and defines how to identify shared data objects in biodiversity information applications using Life Sciences Identifiers (LSID). It should be read in conjunction with the GUID Applicability Statement
Darwin Core Introduction,http://rs.tdwg.org/dwc/index/,http://rs.tdwg.org/dwc/index/2014-11-08,text/html,2014-11-08,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Darwin Core Task Group. 2014. Darwin Core Introduction. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/dwc/index/,TDWG Darwin Core Task Group,,http://rs.tdwg.org/dwc/index.htm,http://rs.tdwg.org/dwc/index.htm,http://www.tdwg.org/standards/450,"This document is a cover page, an entry-level document to the Darwin Core standard. It describes the purpose of the standard and orients the reader to the documents that cover specific topics within the standard, such as the quick guide to the list of terms."
