document_version,contributor_iri,contributor_literal,contributor_role,affiliation
http://rs.tdwg.org/xdf/doc/1992,http://viaf.org/viaf/232871584,Richard J. White,author,
http://rs.tdwg.org/xdf/doc/1992,http://viaf.org/viaf/64067143,Robert Allkin,author,
http://rs.tdwg.org/bphsup/doc/book/1991,http://viaf.org/viaf/41889168,Gavin D. R. Bridson,author,
http://rs.tdwg.org/bphsup/doc/book/1991,http://viaf.org/viaf/76413207,Elizabeth R. Smith,author,
http://rs.tdwg.org/ih/doc/book/1990,http://viaf.org/viaf/5004494,Patricia K. Holmgren,author,
http://rs.tdwg.org/ih/doc/book/1990,http://viaf.org/viaf/69002167,Noel H. Holmgren,author,
http://rs.tdwg.org/ih/doc/book/1990,http://viaf.org/viaf/66539117,Lisa C. Barnett,author,
http://rs.tdwg.org/itfbgpr/doc/specification/1987-09-15,http://viaf.org/viaf/17299201,Hugh Synge,lead author,IUCN Conservation Monitoring Centre
http://rs.tdwg.org/itfbgpr/doc/specification/1987-09-15,http://www.wikidata.org/entity/Q51885175,Duncan Mackinder,author,IUCN Conservation Monitoring Centre
http://rs.tdwg.org/itfbgpr/doc/specification/1987-09-15,http://viaf.org/viaf/61595508,James Cullen,author,"Royal Botanic Garden, Edinburgh"
http://rs.tdwg.org/itfbgpr/doc/specification/1987-09-15,http://viaf.org/viaf/69104243,Kerry Walter,author,"Center for Plant Conservation, Massachusetts"
http://rs.tdwg.org/itfbgpr/doc/specification/1987-09-15,htts://orcid.org/0000-0001-8905-5638,Michael Lear,author,"Royal Botanic Garden, Kew"
http://rs.tdwg.org/itfbgpr/doc/specification/1987-09-15,http://viaf.org/viaf/112328349,Peter Wyse Jackson,author,Botanic Gardens Conservation Secretariat
http://rs.tdwg.org/itfbgpr/doc/specification/1998,http://viaf.org/viaf/194025057,Diane Wyse Jackson,lead author,Botanic Gardens Conservation International
http://rs.tdwg.org/itfbgpr/doc/specification/1998,http://www.wikidata.org/entity/Q51885215,Christopher Hobson,editor,Botanic Gardens Conservation International
http://rs.tdwg.org/itfbgpr/doc/specification/1998,http://viaf.org/viaf/92780116,Barry Conn,editor,Botanic Gardens Conservation International
http://rs.tdwg.org/itfbgpr/doc/specification/1998,http://viaf.org/viaf/41424576,Richard Piacentini,editor,Botanic Gardens Conservation International
http://rs.tdwg.org/itfbgpr/doc/specification/1998,http://orcid.org/0000-0002-5705-8655,Steve Waldren,editor,Botanic Gardens Conservation International
http://rs.tdwg.org/itfbgpr/doc/specification/1998,http://www.wikidata.org/entity/Q51892660,Chris Ward,editor,Botanic Gardens Conservation International
http://rs.tdwg.org/itfbgpr/doc/specification/1998,http://orcid.org/0000-0002-2524-2773,Ken Bailey,author,"Royal Botanic Garden, Kew"
http://rs.tdwg.org/itfbgpr/doc/specification/1998,http://viaf.org/viaf/112328349,Peter Wyse Jackson,author,Botanic Gardens Conservation International
http://rs.tdwg.org/itfbgpr/doc/specification/1998,http://orcid.org/0000-0002-4726-7373,Simon Thornton Wood,author,Royal Horticultural Society
http://rs.tdwg.org/itfbgpr/doc/specification/1998,http://viaf.org/viaf/69104243,Kerry Walter,author,"BG-BASE and Royal Botanic Garden, Edinburgh"
http://rs.tdwg.org/frw/doc/book/1986,http://viaf.org/viaf/19771885,Armen Leonovich Takhtajan,author,
http://rs.tdwg.org/frw/doc/book/1986,http://viaf.org/viaf/91310738,Theodore J. Crovello,translator,
http://rs.tdwg.org/frw/doc/book/1986,http://viaf.org/viaf/61620062,Arthur Cronquist,editor,
http://rs.tdwg.org/bph/doc/1968,http://viaf.org/viaf/70015363,George H. M. Lawrence,author,
http://rs.tdwg.org/bph/doc/1968,http://viaf.org/viaf/459669,A. F. Günther Buchheim,author,
http://rs.tdwg.org/bph/doc/1968,http://viaf.org/viaf/285654376,Gilbert S. Daniels,author,
http://rs.tdwg.org/bph/doc/1968,http://viaf.org/viaf/100012671,Helmut Dolezal,author,
http://rs.tdwg.org/bph/doc/2004,http://viaf.org/viaf/41889168,Gavin D. R. Bridson,author,Hunt Institute
http://rs.tdwg.org/tl/doc/v1/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/v2/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/v3/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/v4/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/v5/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/v6/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/v7/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/s1/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/s2/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/s3/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/s4/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/s5/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/s6/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/s7/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/s8/1988,http://viaf.org/viaf/270400376,Frans A. Stafleu,lead author,
http://rs.tdwg.org/tl/doc/v1/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/v2/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/v3/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/v4/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/v5/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/v6/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/v7/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/s1/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/s2/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/s3/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/s4/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/s5/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/s6/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/s7/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/s8/1988,http://viaf.org/viaf/9863210,Richard S. Cowan,author,
http://rs.tdwg.org/tl/doc/s1/1988,http://viaf.org/viaf/80432287,Laurence J. Dorr,author,
http://rs.tdwg.org/tl/doc/s2/1988,http://viaf.org/viaf/80432287,Laurence J. Dorr,author,
http://rs.tdwg.org/tl/doc/s3/1988,http://viaf.org/viaf/80432287,Laurence J. Dorr,author,
http://rs.tdwg.org/tl/doc/s4/1988,http://viaf.org/viaf/80432287,Laurence J. Dorr,author,
http://rs.tdwg.org/tl/doc/s5/1988,http://viaf.org/viaf/80432287,Laurence J. Dorr,author,
http://rs.tdwg.org/tl/doc/s6/1988,http://viaf.org/viaf/80432287,Laurence J. Dorr,author,
http://rs.tdwg.org/tl/doc/s7/1988,http://viaf.org/viaf/80432287,Laurence J. Dorr,author,
http://rs.tdwg.org/tl/doc/s8/1988,http://viaf.org/viaf/80432287,Laurence J. Dorr,author,
http://rs.tdwg.org/tl/doc/s1/1988,http://viaf.org/viaf/11457657,Erik A. Mennega,author,
http://rs.tdwg.org/tl/doc/s2/1988,http://viaf.org/viaf/11457657,Erik A. Mennega,author,
http://rs.tdwg.org/tl/doc/s3/1988,http://viaf.org/viaf/11457657,Erik A. Mennega,author,
http://rs.tdwg.org/tl/doc/s4/1988,http://viaf.org/viaf/11457657,Erik A. Mennega,author,
http://rs.tdwg.org/tl/doc/s5/1988,http://viaf.org/viaf/11457657,Erik A. Mennega,author,
http://rs.tdwg.org/tl/doc/s6/1988,http://viaf.org/viaf/11457657,Erik A. Mennega,author,
http://rs.tdwg.org/tl/doc/s7/1988,http://viaf.org/viaf/11457657,Erik A. Mennega,author,
http://rs.tdwg.org/tl/doc/s8/1988,http://viaf.org/viaf/11457657,Erik A. Mennega,author,
http://rs.tdwg.org/tl/doc/s1/1988,http://viaf.org/viaf/84746223,Dan H. Nicolson,author,
http://rs.tdwg.org/tl/doc/s2/1988,http://viaf.org/viaf/84746223,Dan H. Nicolson,author,
http://rs.tdwg.org/tl/doc/s3/1988,http://viaf.org/viaf/84746223,Dan H. Nicolson,author,
http://rs.tdwg.org/tl/doc/s4/1988,http://viaf.org/viaf/84746223,Dan H. Nicolson,author,
http://rs.tdwg.org/tl/doc/s5/1988,http://viaf.org/viaf/84746223,Dan H. Nicolson,author,
http://rs.tdwg.org/tl/doc/s6/1988,http://viaf.org/viaf/84746223,Dan H. Nicolson,author,
http://rs.tdwg.org/tl/doc/s7/1988,http://viaf.org/viaf/84746223,Dan H. Nicolson,author,
http://rs.tdwg.org/tl/doc/s8/1988,http://viaf.org/viaf/84746223,Dan H. Nicolson,author,
