link_column,link_property,suffix1,link_characters,suffix2,filename,forward_link
document_version,dcterms:relation,contributor_iri,http,,docs-versions-authors.csv,dcterms:contributor
replacing_document,dcterms:isReplacedBy,replaced_document,http,,docs-versions-replacements.csv,dcterms:replaces
version_iri,dcterms:isFormatOf,accessUri,http,,docs-versions-formats.csv,dcterms:hasFormat
