document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,term,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,rdf_type,rdfs_subPropertyOf,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,rdf_about,dcterms_issued,dcterms_modified,dwcattributes_status,dcterms_replaces,dcterms_replaces1,dcterms_replaces2
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-13,CollectionCode-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode,CollectionCode,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Collection Code,A unique alphanumeric value which identifies the collection within the institution,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/SourceID,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode-2003-06-13,2003-06-13,2003-06-13,superseded,,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-17,CollectionCode-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-13,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode,CollectionCode,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Collection Code,A unique alphanumeric value that identifies the collection within the institution in which the item is cataloged. This attribute must contain no spaces.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/SourceID,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectionCode-2003-06-13,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-13,Collector-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector,Collector,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Collector,The name(s) of the collector(s) responsible for collection the specimen or taking the observation,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/GatheringAgents/GatheringAgentsText,,,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector-2003-06-13,2003-06-13,2003-06-13,superseded,,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-17,Collector-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-13,,,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector,Collector,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Collector,The name(s) of the collector(s) of the original data for the cataloged item.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/GatheringAgents/GatheringAgentsText,,,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/Collector-2003-06-13,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-13,CollectorNumber-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectorNumber,CollectorNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Collector Number,"An identifying ""number"" (really a string) applied to specimens (in some disciplines) at the time of collection. Establishes a links different parts/preparations of a single specimen and between field notes and the specimen.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/CollectorsFieldNumber,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectorNumber-2003-06-13,2003-06-13,2003-06-13,superseded,,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-17,CollectorNumber-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-13,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectorNumber,CollectorNumber,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Collector Number,An identifying string applied to the cataloged item at the time of collection. Serves as a link between field notes and the cataloged items.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/CollectorsFieldNumber,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectorNumber-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectorNumber-2003-06-13,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-13,ContinentOcean-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,superseded,,,,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean,ContinentOcean,http://digir.net/schema/conceptual/darwin/2003/1.0/,,,,,,,Continent Ocean,The continent or ocean from which a specimen was collected.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName with NamedAreas/NamedArea/AreaClass= Continent,,,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean-2003-06-13,2003-06-13,2003-06-13,superseded,,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-17,ContinentOcean-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-13,,,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean,ContinentOcean,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Continent Ocean,"The full, unabbreviated name of the continent or ocean from which the cataloged item was collected.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName with NamedAreas/NamedArea/AreaClass= Continent,,,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/ContinentOcean-2003-06-13,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinatePrecision-2003-06-13,CoordinatePrecision-2003-06-13,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-13,deprecated,,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinatePrecision,CoordinatePrecision,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-13,2007-04-17,true,,,,Coordinate Precision,"An estimate of how tightly the collecting locality was specified; expressed as a distance, in meters, that corresponds to a radius around the latitude-longitude coordinates. Use NULL where precision is unknown, cannot be estimated, or is not applicable.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/ISOAccuracy or DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/AccuracyStatement,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinatePrecision-2003-06-13,2003-06-13,2003-06-13,superseded,,,
2017-09-23T06:53:00-05:00,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinateUncertaintyInMeters-2003-06-17,CoordinateUncertaintyInMeters-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/,2003-06-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinatePrecision-2003-06-13,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinateUncertaintyInMeters,CoordinateUncertaintyInMeters,http://digir.net/schema/conceptual/darwin/2003/1.0/,2003-06-17,2007-04-17,true,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinatePrecision,,,Coordinate Uncertainty In Meters,"The upper limit of the distance (in meters) from the given latitude and longitude describing a circle within which the whole of the described locality must lie. Use NULL where the uncertainty is unknown, cannot be estimated, or is not applicable.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLon/CoordinateErrorDistanceInMeters,,,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinateUncertaintyInMeters-2003-06-17,2003-06-17,2003-06-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinatePrecision-2003-06-13,,
