document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,rdf_type,rdfs_subPropertyOf,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,rdf_about,dcterms_issued,dcterms_modified,dwcattributes_status,dcterms_replaces,dcterms_replaces1,dcterms_replaces2
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/County-2007-04-17,County-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/County-2003-06-17,,,County,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/County,,,County,"The full, unabbreviated name of the county, shire, or municipality (i.e., the next smaller political region than StateProvince) in which the organism was collected or observed.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName with NamedAreas/NamedArea/AreaClass= County,,,http://rs.tdwg.org/dwc/dwcore/County-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/County-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/DateLastModified-2007-04-17,DateLastModified-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DateLastModified-2003-06-17,,,DateLastModified,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/DateLastModified,,,Date Last Modified,"The last date-time of publication when any of the data for the record were modified from the previous publication of that record. When publishing a record for the first time, use the publication date-time. Returns values as ISO 8601 date and time. (cf. http://www.w3.org/TR/xmlschema-2/#isoformats and http://www.iso.org/iso/en/prods-services/popstds/dateandtime.html Example: November 5, 1994, 8:15:30 am, US Eastern Standard Time"" would be ""1994-11-05T13:15:30Z""",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/DateLastEdited,,,http://rs.tdwg.org/dwc/dwcore/DateLastModified-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/DateLastModified-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/DayOfYear-2007-04-17,DayOfYear-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/JulianDay-2003-06-17,,,DayOfYear,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/JulianDay,,,Day of Year,"The ordinal day of the year on which the object or observation was collected (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366). If the EarliestDateCollected and LatestDateCollected do not occur on the same day, do not populate DayOfYear.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/DateTime/DayNumberBegin,,,http://rs.tdwg.org/dwc/dwcore/DayOfYear-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/JulianDay-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/EarliestDateCollected-2007-04-17,EarliestDateCollected-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayCollected-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/MonthCollected-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/YearCollected-2003-06-17,EarliestDateCollected,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/YearCollected,Earliest Date Collected,"The earliest date-time (Common Era calendar) in a date-time period during which an organism or group of organisms was collected or observed. If the event is recorded as occurring at a single date-time, populate both EarliestDateCollected and LatestDateCollected with the same value.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/ISODateTimeBegin,,,http://rs.tdwg.org/dwc/dwcore/EarliestDateCollected-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthCollected-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/YearCollected-2003-06-17
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/Family-2007-04-17,Family-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Family-2003-06-17,,,Family,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/Family,,,Family,The name of the family in which the organism is classified.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName with HigherTaxa/HigherTaxon/HigherTaxonRank = familia,,,http://rs.tdwg.org/dwc/dwcore/Family-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/Family-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/Genus-2007-04-17,Genus-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Genus-2003-06-17,,,Genus,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/Genus,,,Genus,The name of the genus in which the organism is classified.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,{DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Bacterial/GenusOrMonomial or DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Botanical/GenusOrMonomial or DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Viral/GenusOrMonomial or DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/ScientificName/NameAtomised/Zoological/GenusOrMonomial},,,http://rs.tdwg.org/dwc/dwcore/Genus-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/Genus-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/GlobalUniqueIdentifier-2007-04-17,GlobalUniqueIdentifier-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,,,,GlobalUniqueIdentifier,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,,,,Global Unique Identifier,"A Uniform Resource Name (URN) as a unique identifier for the specimen or observation record. In the absence of a persistent global unique identifier, construct one in the form: ""[InstitutionCode]:[CollectionCode]: [CatalogNumber]"" Examples: 1) urn:lsid:nhm.ku.edu:Herps:32 2) ""FMNH:Mammal:145732""",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/UnitGUID,,,http://rs.tdwg.org/dwc/dwcore/GlobalUniqueIdentifier-2007-04-17,2007-04-17,2007-04-17,superseded,,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/HigherGeography-2007-04-17,HigherGeography-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/HigherGeography-2003-06-17,,,HigherGeography,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/HigherGeography,,,Higher Geography,"The names (concatenated and separated) of geographic elements less specific than the information in the Locality element. ""LIKE"" or ""contains"" substring query operations are meant to be used with this element to find matching geographic names. This can be useful if it is unclear in which element a name might be found, and in cases where there is no other appropriate geographic element. Example: ""South America, Argentina, Patagonia, Parque Nacional Nahuel Huapi, Neuquén, Los Lagos"" with accompanying values ""South America"" in Continent, ""Argentina"" in Country, ""Neuquén"" in StateProvince, and Los Lagos in County.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,{DataSets/DataSet/Units/Unit/Gathering/LocalityText or DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName},,,http://rs.tdwg.org/dwc/dwcore/HigherGeography-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/HigherGeography-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/HigherTaxon-2007-04-17,HigherTaxon-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/HigherTaxon-2003-06-17,,,HigherTaxon,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/HigherTaxon,,,Higher Taxon,"The names of taxonomic ranks less specific than SpecificEpithet concatenated and separated. ""LIKE"" or ""contains"" substring query operations are meant to be used with this element to find matching higher taxon names. This element may contain the list of scientific names of all of the supra-specific taxa in the classification used to identify (determine) the specimen or observation. Example: ""Animalia, Chordata, Vertebrata, Mammalia, Theria, Eutheria, Rodentia, Hystricognatha, Hystricognathi, Ctenomyidae, Ctenomyini, Ctenomys"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName,,,http://rs.tdwg.org/dwc/dwcore/HigherTaxon-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/HigherTaxon-2003-06-17,,
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/dwcore/version/IdentificationQualifier-2007-04-17,IdentificationQualifier-2007-04-17,http://rs.tdwg.org/dwc/dwcore/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IdentificationModifier-2003-06-17,,,IdentificationQualifier,http://rs.tdwg.org/dwc/dwcore/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/IdentificationModifier,,,Identification Qualifier,"A brief phrase or a standard term (""cf."", ""aff."") to qualify the identification of the organism when doubts have arisen as to its taxonomic identity (determination). Examples: 1) For the determination ""Quercus aff. agrifolia var. oxyadenia"", IdentificationQualifier would be ""aff. agrifolia var. oxyadenia"" with accompanying values ""Quercus"" in Genus, ""agrifolia"" in SpecificEpithet, ""oxyadenia"" in InfraspecificEpithet, and ""var."" in InfraspecificRank. 2) For the determination ""Quercus agrifolia cf. var. oxyadenia"", IdentificationQualifier would be ""cf. var. oxyadenia "" with accompanying values ""Quercus"" in Genus, ""agrifolia"" in SpecificEpithet, ""oxyadenia"" in InfraspecificEpithet, and ""var."" in InfraspecificRank.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/IdentificationQualifier,,,http://rs.tdwg.org/dwc/dwcore/IdentificationQualifier-2007-04-17,2007-04-17,2007-04-17,superseded,http://digir.net/schema/conceptual/darwin/2003/1.0/IdentificationModifier-2003-06-17,,
